消息序号,采集时间,NR DU小区标识,下行RLC总吞吐率(bps),上行RLC总吞吐率(bps),下行MAC总吞吐率(bps),上行MAC总吞吐率(bps),运营商索引
220,2023-03-22 22:21:48 (963),1,0,1960,7456,538776,0
221,2023-03-22 22:21:49 (963),1,0,3896,14192,317592,0
222,2023-03-22 22:21:50 (963),1,0,1968,8096,588120,0
223,2023-03-22 22:21:51 (963),1,0,3376,10992,272712,0
224,2023-03-22 22:21:52 (963),1,0,1968,6008,410496,0
225,2023-03-22 22:21:53 (963),1,0,3896,13720,243288,0
226,2023-03-22 22:21:54 (963),1,0,1968,6008,413472,0
227,2023-03-22 22:21:55 (963),1,0,3240,10992,230328,0
228,2023-03-22 22:21:56 (963),1,0,2624,8736,413736,0
229,2023-03-22 22:21:57 (963),1,0,3240,13464,230328,0
230,2023-03-22 22:21:58 (963),1,0,1968,6008,391320,0
231,2023-03-22 22:21:59 (963),1,0,3792,13552,218208,0
232,2023-03-22 22:22:00 (963),1,0,2624,6008,362688,0
233,2023-03-22 22:22:01 (963),1,0,4320,28960,340272,0
234,2023-03-22 22:22:02 (963),1,0,3176,9288,835248,0
235,2023-03-22 22:22:03 (983),1,0,4352,9840,306144,0
236,2023-03-22 22:22:04 (963),1,0,2624,4728,307872,0
237,2023-03-22 22:22:05 (963),1,0,4352,7096,331800,0
238,2023-03-22 22:22:06 (963),1,0,2624,3512,272760,0
239,2023-03-22 22:22:07 (963),1,0,4352,7096,373656,0
240,2023-03-22 22:22:08 (983),1,0,2624,3512,247104,0
241,2023-03-22 22:22:09 (963),1,0,4352,6424,396072,0
242,2023-03-22 22:22:10 (963),1,0,1968,3512,237384,0
243,2023-03-22 22:22:11 (963),1,0,4880,9056,400272,0
244,2023-03-22 22:22:12 (963),1,0,2520,4992,362952,0
245,2023-03-22 22:22:13 (983),1,0,4880,7952,397800,0
246,2023-03-22 22:22:14 (963),1,0,2520,4992,598632,0
247,2023-03-22 22:22:15 (963),1,0,4352,7952,539784,0
248,2023-03-22 22:22:16 (964),1,0,2456,6472,728904,0
249,2023-03-22 22:22:17 (983),1,0,4352,7952,397800,0
250,2023-03-22 22:22:18 (963),1,0,2456,6472,368904,0
251,2023-03-22 22:22:19 (963),1,0,3824,9432,397536,0
252,2023-03-22 22:22:20 (963),1,0,2456,6472,569208,0
253,2023-03-22 22:22:21 (963),1,0,3848,9432,397536,0
254,2023-03-22 22:22:22 (963),1,0,2456,6472,371880,0
255,2023-03-22 22:22:23 (963),1,0,3848,7672,397800,0
256,2023-03-22 22:22:24 (963),1,0,2352,4992,371880,0
257,2023-03-22 22:22:25 (963),1,0,3328,7952,397800,0
258,2023-03-22 22:22:26 (963),1,0,4184,9432,516624,0
259,2023-03-22 22:22:27 (984),1,0,3848,9432,423192,0
260,2023-03-22 22:22:28 (964),1,0,3632,7952,554712,0
261,2023-03-22 22:22:29 (963),1,0,3848,9432,395808,0
262,2023-03-22 22:22:30 (964),1,0,3632,7952,586848,0
263,2023-03-22 22:22:31 (963),1,0,2648,6472,362424,0
264,2023-03-22 22:22:32 (963),1,0,4840,10912,580632,0
265,2023-03-22 22:22:33 (963),1,0,2648,11464,336768,0
266,2023-03-22 22:22:34 (963),1,0,5264,16920,867264,0
267,2023-03-22 22:22:35 (963),1,0,2088,13552,359712,0
268,2023-03-22 22:22:36 (963),1,0,5264,16920,564696,0
269,2023-03-22 22:22:37 (963),1,0,2088,8736,278976,0
270,2023-03-22 22:22:38 (983),1,0,5264,16920,519864,0
271,2023-03-22 22:22:39 (963),1,0,2088,8904,266280,0
272,2023-03-22 22:22:40 (963),1,0,5264,19648,484224,0
273,2023-03-22 22:22:41 (983),1,0,2648,12272,304056,0
274,2023-03-22 22:22:42 (983),1,0,5264,19648,496920,0
275,2023-03-22 22:22:43 (963),1,0,2648,12912,281640,0
276,2023-03-22 22:22:44 (983),1,0,5264,18536,490704,0
277,2023-03-22 22:22:45 (963),1,0,2648,10184,284880,0
278,2023-03-22 22:22:46 (963),1,0,5264,19816,568200,0
279,2023-03-22 22:22:47 (963),1,0,2592,25952,377232,0
280,2023-03-22 22:22:48 (963),1,0,9432,33288,1239288,0
281,2023-03-22 22:22:49 (963),1,0,7632,19648,763456,0
282,2023-03-22 22:22:50 (965),1,0,13104,34736,1112664,0
283,2023-03-22 22:22:51 (963),1,0,9344,30816,1139216,0
284,2023-03-22 22:22:52 (963),1,0,13736,35544,1829008,0
285,2023-03-22 22:22:53 (963),1,0,9368,27360,994624,0
286,2023-03-22 22:22:54 (983),1,0,15928,38912,1403808,0
287,2023-03-22 22:22:55 (963),1,0,12560,36016,1202848,0
288,2023-03-22 22:22:56 (963),1,0,17488,34096,1549296,0
289,2023-03-22 22:22:57 (956),1,0,23336,60576,2227440,0
290,2023-03-22 22:22:58 (963),1,0,20272,51744,1992792,0
291,2023-03-22 22:22:59 (963),1,0,27872,71480,1871056,0
292,2023-03-22 22:23:00 (963),1,0,22376,57840,1868704,0
293,2023-03-22 22:23:01 (983),1,0,30744,81112,2013984,0
294,2023-03-22 22:23:02 (963),1,0,22376,51312,2204640,0
295,2023-03-22 22:23:03 (963),1,0,31352,85928,1889352,0
296,2023-03-22 22:23:04 (963),1,0,22928,65384,1875048,0
297,2023-03-22 22:23:05 (983),1,0,30176,92664,1899792,0
298,2023-03-22 22:23:06 (963),1,0,32488,57840,2186832,0
299,2023-03-22 22:23:07 (983),1,0,31616,87848,2406376,0
300,2023-03-22 22:23:08 (963),1,0,35248,60568,2075295,0
301,2023-03-22 22:23:09 (983),1,0,32952,81920,2299184,0
302,2023-03-22 22:23:10 (963),1,0,34216,62016,2348304,0
303,2023-03-22 22:23:11 (963),1,0,35624,86096,2011144,0
304,2023-03-22 22:23:12 (963),1,0,34224,67056,2046936,0
305,2023-03-22 22:23:13 (963),1,0,31960,71008,1879800,0
306,2023-03-22 22:23:14 (963),1,0,30256,63048,1933680,0
307,2023-03-22 22:23:15 (963),1,0,31432,76048,2155824,0
308,2023-03-22 22:23:16 (983),1,0,28520,52304,1455176,0
309,2023-03-22 22:23:17 (963),1,0,35816,71872,1875584,0
310,2023-03-22 22:23:18 (963),1,0,32448,55032,1851640,0
311,2023-03-22 22:23:19 (963),1,0,34736,73096,2101984,0
312,2023-03-22 22:23:20 (963),1,0,31312,61768,1393584,0
313,2023-03-22 22:23:21 (963),1,0,35104,70368,1902880,0
314,2023-03-22 22:23:22 (964),1,0,34824,50856,1700952,0
315,2023-03-22 22:23:23 (963),1,0,37216,78136,2195768,0
316,2023-03-22 22:23:24 (983),1,24032,45568,92376,1549880,0
317,2023-03-22 22:23:25 (963),1,0,21208,45648,1113192,0
318,2023-03-22 22:23:26 (963),1,0,20512,38104,836928,0
319,2023-03-22 22:23:27 (983),1,0,19744,48376,1041599,0
320,2023-03-22 22:23:28 (963),1,0,19512,38744,827472,0
321,2023-03-22 22:23:29 (963),1,0,18776,51744,1183896,0
322,2023-03-22 22:23:30 (963),1,0,17728,38744,1035768,0
323,2023-03-22 22:23:31 (983),1,0,29664,40992,1426968,0
324,2023-03-22 22:23:32 (963),1,23312,8000,43336,455856,0
325,2023-03-22 22:23:33 (963),1,0,6240,19648,516360,0
326,2023-03-22 22:23:34 (963),1,0,2128,6008,253584,0
327,2023-03-22 22:23:35 (963),1,0,6168,19648,519600,0
328,2023-03-22 22:23:36 (983),1,0,1056,4728,272496,0
329,2023-03-22 22:23:37 (983),1,0,5616,19648,545256,0
330,2023-03-22 22:23:38 (963),1,0,528,2640,491976,0
331,2023-03-22 22:23:39 (983),1,0,5072,19648,551472,0
332,2023-03-22 22:23:40 (983),1,0,528,6008,323808,0
333,2023-03-22 22:23:41 (963),1,0,5008,19648,719112,0
334,2023-03-22 22:23:42 (983),1,0,528,6008,427488,0
335,2023-03-22 22:23:43 (983),1,0,5032,22376,859104,0
336,2023-03-22 22:23:44 (963),1,0,528,4728,479328,0
337,2023-03-22 22:23:45 (963),1,0,4504,22376,641400,0
338,2023-03-22 22:23:46 (963),1,0,0,552,301656,0
339,2023-03-22 22:23:47 (963),1,0,4504,23184,564432,0
340,2023-03-22 22:23:48 (963),1,0,0,552,301392,0
341,2023-03-22 22:23:49 (963),1,0,4504,25104,564432,0
342,2023-03-22 22:23:50 (983),1,0,0,552,304632,0
343,2023-03-22 22:23:51 (963),1,0,4504,22544,564432,0
344,2023-03-22 22:23:52 (983),1,0,0,552,304896,0
345,2023-03-22 22:23:53 (963),1,0,4504,22544,668376,0
346,2023-03-22 22:23:54 (983),1,0,0,552,324600,0
347,2023-03-22 22:23:55 (963),1,0,4512,26384,756480,0
348,2023-03-22 22:23:56 (963),1,0,0,552,473376,0
349,2023-03-22 22:23:57 (983),1,0,5168,21072,499848,0
350,2023-03-22 22:23:58 (963),1,0,648,4728,381024,0
351,2023-03-22 22:23:59 (963),1,0,5168,18304,590088,0
352,2023-03-22 22:24:00 (983),1,0,648,5624,336768,0
353,2023-03-22 22:24:01 (963),1,0,5168,18304,593328,0
354,2023-03-22 22:24:02 (963),1,0,648,5624,371784,0
355,2023-03-22 22:24:03 (983),1,0,6376,20392,906720,0
356,2023-03-22 22:24:04 (983),1,0,648,5624,278976,0
357,2023-03-22 22:24:05 (963),1,0,6272,20840,906456,0
358,2023-03-22 22:24:06 (963),1,0,648,6176,439128,0
359,2023-03-22 22:24:07 (963),1,0,5752,18304,581160,0
360,2023-03-22 22:24:08 (983),1,0,648,5624,230904,0
361,2023-03-22 22:24:09 (963),1,0,6296,23376,625368,0
362,2023-03-22 22:24:10 (963),1,0,0,2536,176352,0
363,2023-03-22 22:24:11 (983),1,0,5160,14656,316968,0
364,2023-03-22 22:24:12 (963),1,0,2304,6176,208488,0
365,2023-03-22 22:24:13 (983),1,0,6232,14768,497184,0
366,2023-03-22 22:24:14 (963),1,0,648,3088,208488,0
367,2023-03-22 22:24:15 (983),1,0,5704,15768,481512,0
368,2023-03-22 22:24:16 (983),1,0,1240,8712,307872,0
369,2023-03-22 22:24:17 (983),1,0,5704,15768,503616,0
370,2023-03-22 22:24:18 (964),1,0,1240,8160,265968,0
371,2023-03-22 22:24:19 (963),1,0,4624,13232,506904,0
372,2023-03-22 22:24:20 (983),1,0,1240,9264,517943,0
373,2023-03-22 22:24:21 (963),1,0,4624,13440,548712,0
374,2023-03-22 22:24:22 (963),1,0,1240,5176,311112,0
375,2023-03-22 22:24:23 (963),1,0,4072,16168,628656,0
376,2023-03-22 22:24:24 (963),1,0,1792,5176,362424,0
377,2023-03-22 22:24:25 (963),1,0,3520,11888,861048,0
378,2023-03-22 22:24:26 (963),1,0,2936,7264,384840,0
379,2023-03-22 22:24:27 (963),1,0,3520,10992,609480,0
380,2023-03-22 22:24:28 (983),1,0,2384,6336,416976,0
381,2023-03-22 22:24:29 (963),1,0,4176,18864,778104,0
382,2023-03-22 22:24:30 (963),1,0,1736,6816,611280,0
383,2023-03-22 22:24:31 (963),1,0,3600,5376,632472,0
384,2023-03-22 22:24:32 (963),1,0,1144,3768,411024,0
385,2023-03-22 22:24:33 (963),1,0,3600,3936,491232,0
386,2023-03-22 22:24:34 (963),1,0,1736,3936,651120,0
387,2023-03-22 22:24:35 (963),1,0,3600,3936,458832,0
388,2023-03-22 22:24:36 (963),1,0,1736,5064,449376,0
389,2023-03-22 22:24:37 (983),1,0,2288,2784,436416,0
390,2023-03-22 22:24:38 (963),1,0,1184,1680,387816,0
391,2023-03-22 22:24:39 (963),1,0,2816,3704,397536,0
392,2023-03-22 22:24:40 (963),1,0,1184,1680,416976,0
393,2023-03-22 22:24:41 (963),1,0,2272,3936,368904,0
394,2023-03-22 22:24:42 (983),1,0,1184,1680,411024,0
395,2023-03-22 22:24:43 (983),1,0,2792,5064,368904,0
396,2023-03-22 22:24:44 (983),1,0,1184,1680,408048,0
397,2023-03-22 22:24:45 (963),1,0,3448,5064,368640,0
398,2023-03-22 22:24:46 (963),1,0,1184,1680,378096,0
399,2023-03-22 22:24:47 (963),1,0,3448,5064,404016,0
400,2023-03-22 22:24:48 (963),1,0,1184,1680,346488,0
401,2023-03-22 22:24:49 (963),1,0,3448,5416,469080,0
402,2023-03-22 22:24:50 (963),1,0,592,1680,321096,0
403,2023-03-22 22:24:51 (963),1,0,3448,3496,461232,0
404,2023-03-22 22:24:52 (963),1,0,592,1288,294912,0
405,2023-03-22 22:24:53 (982),1,0,4104,4824,484224,0
406,2023-03-22 22:24:54 (963),1,0,592,1128,272496,0
407,2023-03-22 22:24:55 (983),1,0,4104,5064,467328,0
408,2023-03-22 22:24:56 (983),1,0,592,2232,272184,0
409,2023-03-22 22:24:57 (983),1,0,4104,6192,461808,0
410,2023-03-22 22:24:58 (963),1,0,1296,3512,295176,0
411,2023-03-22 22:24:59 (963),1,0,4104,7248,503400,0
412,2023-03-22 22:25:00 (983),1,0,1296,3512,317592,0
413,2023-03-22 22:25:01 (963),1,0,2792,6472,480984,0
414,2023-03-22 22:25:02 (963),1,0,1296,2808,340272,0
415,2023-03-22 22:25:03 (983),1,0,2920,5768,471264,0
416,2023-03-22 22:25:04 (963),1,0,1296,3160,349992,0
