消息序号,来源,采集时间,基站标识,小区标识,服务小区物理小区标识,物理小区标识,RSRP(dBm),RSRQ(dB)
1,5G基站,2023-04-06 20:39:24 (380),1,1,3,3,-73,-10
2,5G基站,2023-04-06 20:39:25 (423),1,1,3,3,-77,-10
3,5G基站,2023-04-06 20:39:26 (432),1,1,3,3,-76,-10
4,5G基站,2023-04-06 20:39:27 (463),1,1,3,3,-78,-10
5,5G基站,2023-04-06 20:39:28 (482),1,1,3,3,-83,-10
6,5G基站,2023-04-06 20:39:29 (522),1,1,3,3,-78,-10
7,5G基站,2023-04-06 20:39:30 (533),1,1,3,3,-75,-10
8,5G基站,2023-04-06 20:39:31 (562),1,1,3,3,-75,-10
9,5G基站,2023-04-06 20:39:32 (583),1,1,3,3,-75,-10
10,5G基站,2023-04-06 20:39:33 (622),1,1,3,3,-76,-10
11,5G基站,2023-04-06 20:39:34 (643),1,1,3,3,-76,-10
12,5G基站,2023-04-06 20:39:35 (663),1,1,3,3,-76,-10
13,5G基站,2023-04-06 20:39:36 (703),1,1,3,3,-75,-10
14,5G基站,2023-04-06 20:39:37 (723),1,1,3,3,-75,-10
15,5G基站,2023-04-06 20:39:38 (742),1,1,3,3,-75,-10
16,5G基站,2023-04-06 20:39:39 (763),1,1,3,3,-75,-10
17,5G基站,2023-04-06 20:39:40 (803),1,1,3,3,-75,-10
18,5G基站,2023-04-06 20:39:41 (823),1,1,3,3,-76,-10
19,5G基站,2023-04-06 20:39:42 (843),1,1,3,3,-76,-10
20,5G基站,2023-04-06 20:39:43 (863),1,1,3,3,-76,-10
21,5G基站,2023-04-06 20:39:44 (903),1,1,3,3,-75,-10
22,5G基站,2023-04-06 20:39:45 (922),1,1,3,3,-75,-10
23,5G基站,2023-04-06 20:39:46 (942),1,1,3,3,-75,-10
24,5G基站,2023-04-06 20:39:47 (963),1,1,3,3,-75,-10
25,5G基站,2023-04-06 20:39:48 (983),1,1,3,3,-75,-10
26,5G基站,2023-04-06 20:39:50 (22),1,1,3,3,-75,-10
27,5G基站,2023-04-06 20:39:51 (43),1,1,3,3,-76,-10
28,5G基站,2023-04-06 20:39:52 (62),1,1,3,3,-76,-10
29,5G基站,2023-04-06 20:39:53 (81),1,1,3,3,-78,-10
30,5G基站,2023-04-06 20:39:54 (123),1,1,3,3,-78,-10
31,5G基站,2023-04-06 20:39:55 (143),1,1,3,3,-78,-10
32,5G基站,2023-04-06 20:39:56 (152),1,1,3,3,-78,-10
33,5G基站,2023-04-06 20:39:57 (173),1,1,3,3,-80,-10
34,5G基站,2023-04-06 20:39:58 (203),1,1,3,3,-79,-10
35,5G基站,2023-04-06 20:39:59 (242),1,1,3,3,-79,-10
36,5G基站,2023-04-06 20:40:00 (251),1,1,3,3,-79,-10
37,5G基站,2023-04-06 20:40:01 (283),1,1,3,3,-78,-10
38,5G基站,2023-04-06 20:40:02 (303),1,1,3,3,-77,-10
39,5G基站,2023-04-06 20:40:03 (343),1,1,3,3,-77,-10
40,5G基站,2023-04-06 20:40:04 (353),1,1,3,3,-77,-10
41,5G基站,2023-04-06 20:40:05 (383),1,1,3,3,-77,-10
42,5G基站,2023-04-06 20:40:06 (422),1,1,3,3,-77,-10
43,5G基站,2023-04-06 20:40:07 (443),1,1,3,3,-77,-10
44,5G基站,2023-04-06 20:40:08 (463),1,1,3,3,-77,-10
45,5G基站,2023-04-06 20:40:09 (483),1,1,3,3,-77,-10
46,5G基站,2023-04-06 20:40:10 (502),1,1,3,3,-77,-10
47,5G基站,2023-04-06 20:40:11 (540),1,1,3,3,-78,-10
48,5G基站,2023-04-06 20:40:12 (563),1,1,3,3,-78,-10
49,5G基站,2023-04-06 20:40:13 (573),1,1,3,3,-78,-10
50,5G基站,2023-04-06 20:40:14 (598),1,1,3,3,-78,-10
51,5G基站,2023-04-06 20:40:15 (623),1,1,3,3,-78,-10
52,5G基站,2023-04-06 20:40:16 (648),1,1,3,3,-78,-10
53,5G基站,2023-04-06 20:40:17 (673),1,1,3,3,-78,-10
54,5G基站,2023-04-06 20:40:18 (698),1,1,3,3,-78,-10
55,5G基站,2023-04-06 20:40:19 (721),1,1,3,3,-78,-10
56,5G基站,2023-04-06 20:40:20 (748),1,1,3,3,-77,-10
57,5G基站,2023-04-06 20:40:21 (772),1,1,3,3,-77,-10
58,5G基站,2023-04-06 20:40:22 (798),1,1,3,3,-77,-10
59,5G基站,2023-04-06 20:40:23 (823),1,1,3,3,-77,-10
60,5G基站,2023-04-06 20:40:24 (848),1,1,3,3,-77,-10
61,5G基站,2023-04-06 20:40:25 (868),1,1,3,3,-77,-10
62,5G基站,2023-04-06 20:40:26 (903),1,1,3,3,-77,-10
63,5G基站,2023-04-06 20:40:27 (922),1,1,3,3,-77,-10
64,5G基站,2023-04-06 20:40:28 (943),1,1,3,3,-77,-10
65,5G基站,2023-04-06 20:40:29 (982),1,1,3,3,-77,-10
66,5G基站,2023-04-06 20:40:31 (2),1,1,3,3,-77,-10
67,5G基站,2023-04-06 20:40:32 (22),1,1,3,3,-77,-10
68,5G基站,2023-04-06 20:40:33 (63),1,1,3,3,-77,-10
69,5G基站,2023-04-06 20:40:34 (82),1,1,3,3,-78,-10
70,5G基站,2023-04-06 20:40:35 (103),1,1,3,3,-78,-10
71,5G基站,2023-04-06 20:40:36 (118),1,1,3,3,-79,-10
72,5G基站,2023-04-06 20:40:37 (166),1,1,3,3,-76,-10
73,5G基站,2023-04-06 20:40:38 (183),1,1,3,3,-76,-11
74,5G基站,2023-04-06 20:40:39 (203),1,1,3,3,-75,-11
75,5G基站,2023-04-06 20:40:40 (223),1,1,3,3,-74,-11
76,5G基站,2023-04-06 20:40:41 (268),1,1,3,3,-83,-11
