消息序号,采集时间,NR DU小区标识,下行RLC总吞吐率(bps),上行RLC总吞吐率(bps),下行MAC总吞吐率(bps),上行MAC总吞吐率(bps)
172,2023-04-06 20:42:41 (300),1,0,648,2032,330552
173,2023-04-06 20:42:42 (300),1,0,6392,10912,500160
174,2023-04-06 20:42:43 (300),1,0,648,2032,311376
175,2023-04-06 20:42:44 (300),1,0,6912,13872,551472
176,2023-04-06 20:42:45 (300),1,0,648,2032,279240
177,2023-04-06 20:42:46 (300),1,0,5728,13872,841032
178,2023-04-06 20:42:47 (300),1,0,648,2032,366720
179,2023-04-06 20:42:48 (300),1,0,6384,15352,538776
180,2023-04-06 20:42:49 (300),1,0,648,2032,301392
181,2023-04-06 20:42:50 (300),1,0,6904,16832,538776
182,2023-04-06 20:42:51 (300),1,0,648,2032,330288
183,2023-04-06 20:42:52 (300),1,0,7560,18312,539304
184,2023-04-06 20:42:53 (300),1,0,648,2032,365664
185,2023-04-06 20:42:54 (300),1,0,6376,15352,538776
186,2023-04-06 20:42:55 (300),1,0,648,2032,397800
187,2023-04-06 20:42:56 (300),1,0,7032,15352,538776
188,2023-04-06 20:42:57 (300),1,0,648,2032,432912
189,2023-04-06 20:42:58 (300),1,0,8216,16832,538776
190,2023-04-06 20:42:59 (300),1,0,648,2032,429936
191,2023-04-06 20:43:00 (300),1,0,7560,16832,551736
192,2023-04-06 20:43:01 (300),1,0,648,2032,394560
193,2023-04-06 20:43:02 (300),1,0,7560,18312,580368
194,2023-04-06 20:43:03 (300),1,0,648,2032,372144
195,2023-04-06 20:43:04 (300),1,0,7560,16832,727992
196,2023-04-06 20:43:05 (300),1,0,648,2032,437472
197,2023-04-06 20:43:06 (300),1,0,7560,16832,1037664
198,2023-04-06 20:43:07 (301),1,0,648,2032,425040
199,2023-04-06 20:43:08 (300),1,0,6312,13872,759864
200,2023-04-06 20:43:09 (300),1,0,648,1480,457176
201,2023-04-06 20:43:10 (300),1,0,6312,12392,985200
202,2023-04-06 20:43:11 (300),1,0,648,2032,527616
203,2023-04-06 20:43:12 (300),1,0,5632,12392,599808
204,2023-04-06 20:43:13 (300),1,0,0,552,196584
205,2023-04-06 20:43:14 (300),1,0,5632,12392,728208
206,2023-04-06 20:43:15 (300),1,0,0,552,285720
207,2023-04-06 20:43:16 (300),1,0,5112,13872,909432
208,2023-04-06 20:43:17 (300),1,0,0,552,292464
