消息序号,来源,采集时间,基站标识,小区标识,服务小区物理小区标识,物理小区标识,RSRP(dBm),RSRQ(dB)
20149,5G基站,2023-03-21 03:10:18 (64),1,1,3,3,-76,-10
20150,5G基站,2023-03-21 03:10:19 (89),1,1,3,3,-76,-10
20151,5G基站,2023-03-21 03:10:20 (114),1,1,3,3,-76,-10
20152,5G基站,2023-03-21 03:10:21 (139),1,1,3,3,-76,-10
20153,5G基站,2023-03-21 03:10:22 (164),1,1,3,3,-76,-10
20154,5G基站,2023-03-21 03:10:23 (189),1,1,3,3,-76,-10
20155,5G基站,2023-03-21 03:10:24 (214),1,1,3,3,-76,-10
20156,5G基站,2023-03-21 03:10:25 (238),1,1,3,3,-76,-10
20157,5G基站,2023-03-21 03:10:26 (263),1,1,3,3,-76,-10
20158,5G基站,2023-03-21 03:10:27 (289),1,1,3,3,-76,-10
20159,5G基站,2023-03-21 03:10:28 (314),1,1,3,3,-76,-10
20160,5G基站,2023-03-21 03:10:29 (338),1,1,3,3,-76,-10
20161,5G基站,2023-03-21 03:10:30 (364),1,1,3,3,-76,-10
20162,5G基站,2023-03-21 03:10:31 (389),1,1,3,3,-76,-10
20163,5G基站,2023-03-21 03:10:32 (414),1,1,3,3,-76,-10
20164,5G基站,2023-03-21 03:10:33 (438),1,1,3,3,-76,-10
20165,5G基站,2023-03-21 03:10:34 (464),1,1,3,3,-76,-10
20166,5G基站,2023-03-21 03:10:35 (499),1,1,3,3,-76,-10
20167,5G基站,2023-03-21 03:10:36 (519),1,1,3,3,-76,-10
20168,5G基站,2023-03-21 03:10:37 (558),1,1,3,3,-76,-10
20169,5G基站,2023-03-21 03:10:38 (579),1,1,3,3,-76,-10
20170,5G基站,2023-03-21 03:10:39 (599),1,1,3,3,-76,-10
20171,5G基站,2023-03-21 03:10:40 (619),1,1,3,3,-76,-10
20172,5G基站,2023-03-21 03:10:41 (659),1,1,3,3,-76,-10
20173,5G基站,2023-03-21 03:10:42 (679),1,1,3,3,-76,-10
20174,5G基站,2023-03-21 03:10:43 (699),1,1,3,3,-76,-10
20175,5G基站,2023-03-21 03:10:44 (719),1,1,3,3,-76,-10
20176,5G基站,2023-03-21 03:10:45 (739),1,1,3,3,-76,-10
20177,5G基站,2023-03-21 03:10:46 (778),1,1,3,3,-76,-10
20178,5G基站,2023-03-21 03:10:47 (799),1,1,3,3,-76,-10
20179,5G基站,2023-03-21 03:10:48 (818),1,1,3,3,-76,-10
20180,5G基站,2023-03-21 03:10:49 (839),1,1,3,3,-76,-10
20181,5G基站,2023-03-21 03:10:50 (879),1,1,3,3,-76,-10
20182,5G基站,2023-03-21 03:10:51 (899),1,1,3,3,-76,-10
20183,5G基站,2023-03-21 03:10:52 (919),1,1,3,3,-76,-10
20184,5G基站,2023-03-21 03:10:53 (939),1,1,3,3,-76,-10
20185,5G基站,2023-03-21 03:10:54 (979),1,1,3,3,-76,-10
20186,5G基站,2023-03-21 03:10:55 (999),1,1,3,3,-76,-10
20187,5G基站,2023-03-21 03:10:57 (18),1,1,3,3,-76,-10
20188,5G基站,2023-03-21 03:10:58 (39),1,1,3,3,-76,-10
20189,5G基站,2023-03-21 03:10:59 (79),1,1,3,3,-76,-10
20190,5G基站,2023-03-21 03:11:00 (98),1,1,3,3,-76,-10
20191,5G基站,2023-03-21 03:11:01 (118),1,1,3,3,-76,-10
20192,5G基站,2023-03-21 03:11:02 (134),1,1,3,3,-76,-10
20193,5G基站,2023-03-21 03:11:03 (158),1,1,3,3,-76,-10
20194,5G基站,2023-03-21 03:11:04 (184),1,1,3,3,-76,-10
20195,5G基站,2023-03-21 03:11:05 (208),1,1,3,3,-76,-10
20196,5G基站,2023-03-21 03:11:06 (234),1,1,3,3,-76,-10
20197,5G基站,2023-03-21 03:11:07 (258),1,1,3,3,-76,-10
20198,5G基站,2023-03-21 03:11:08 (284),1,1,3,3,-76,-10
20199,5G基站,2023-03-21 03:11:09 (309),1,1,3,3,-76,-10
20200,5G基站,2023-03-21 03:11:10 (334),1,1,3,3,-76,-10
20201,5G基站,2023-03-21 03:11:11 (358),1,1,3,3,-76,-10
20202,5G基站,2023-03-21 03:11:12 (399),1,1,3,3,-76,-10
20203,5G基站,2023-03-21 03:11:13 (418),1,1,3,3,-76,-10
20204,5G基站,2023-03-21 03:11:14 (438),1,1,3,3,-76,-10
20205,5G基站,2023-03-21 03:11:15 (458),1,1,3,3,-76,-10
20206,5G基站,2023-03-21 03:11:16 (499),1,1,3,3,-76,-10
20207,5G基站,2023-03-21 03:11:17 (519),1,1,3,3,-76,-10
20208,5G基站,2023-03-21 03:11:18 (529),1,1,3,3,-76,-10
20209,5G基站,2023-03-21 03:11:19 (559),1,1,3,3,-76,-10
20210,5G基站,2023-03-21 03:11:20 (598),1,1,3,3,-76,-10
20211,5G基站,2023-03-21 03:11:21 (619),1,1,3,3,-76,-10
20212,5G基站,2023-03-21 03:11:22 (638),1,1,3,3,-76,-10
20213,5G基站,2023-03-21 03:11:23 (659),1,1,3,3,-76,-10
20214,5G基站,2023-03-21 03:11:24 (698),1,1,3,3,-76,-10
20215,5G基站,2023-03-21 03:11:25 (727),1,1,3,3,-76,-10
20216,5G基站,2023-03-21 03:11:26 (739),1,1,3,3,-76,-10
20217,5G基站,2023-03-21 03:11:27 (754),1,1,3,3,-76,-10
20218,5G基站,2023-03-21 03:11:28 (778),1,1,3,3,-76,-10
20219,5G基站,2023-03-21 03:11:29 (804),1,1,3,3,-76,-10
20220,5G基站,2023-03-21 03:11:30 (831),1,1,3,3,-76,-10
20221,5G基站,2023-03-21 03:11:31 (854),1,1,3,3,-76,-10
20222,5G基站,2023-03-21 03:11:32 (879),1,1,3,3,-76,-10
20223,5G基站,2023-03-21 03:11:33 (904),1,1,3,3,-76,-10
20224,5G基站,2023-03-21 03:11:34 (929),1,1,3,3,-76,-10
20225,5G基站,2023-03-21 03:11:35 (954),1,1,3,3,-76,-10
20226,5G基站,2023-03-21 03:11:36 (978),1,1,3,3,-76,-10
20227,5G基站,2023-03-21 03:11:38 (4),1,1,3,3,-76,-10
20228,5G基站,2023-03-21 03:11:39 (28),1,1,3,3,-76,-10
20229,5G基站,2023-03-21 03:11:40 (54),1,1,3,3,-76,-10
20230,5G基站,2023-03-21 03:11:41 (79),1,1,3,3,-76,-10
20231,5G基站,2023-03-21 03:11:42 (104),1,1,3,3,-76,-10
20232,5G基站,2023-03-21 03:11:43 (129),1,1,3,3,-76,-10
20233,5G基站,2023-03-21 03:11:44 (154),1,1,3,3,-76,-10
20234,5G基站,2023-03-21 03:11:45 (179),1,1,3,3,-76,-10
20235,5G基站,2023-03-21 03:11:46 (204),1,1,3,3,-76,-10
20236,5G基站,2023-03-21 03:11:47 (239),1,1,3,3,-76,-10
20237,5G基站,2023-03-21 03:11:48 (259),1,1,3,3,-76,-10
20238,5G基站,2023-03-21 03:11:49 (299),1,1,3,3,-76,-10
20239,5G基站,2023-03-21 03:11:50 (319),1,1,3,3,-76,-10
20240,5G基站,2023-03-21 03:11:51 (339),1,1,3,3,-76,-10
20241,5G基站,2023-03-21 03:11:52 (359),1,1,3,3,-76,-10
20242,5G基站,2023-03-21 03:11:53 (399),1,1,3,3,-76,-10
20243,5G基站,2023-03-21 03:11:54 (419),1,1,3,3,-76,-10
20244,5G基站,2023-03-21 03:11:55 (439),1,1,3,3,-76,-10
20245,5G基站,2023-03-21 03:11:56 (458),1,1,3,3,-76,-10
20246,5G基站,2023-03-21 03:11:57 (499),1,1,3,3,-76,-10
20247,5G基站,2023-03-21 03:11:58 (518),1,1,3,3,-76,-10
20248,5G基站,2023-03-21 03:11:59 (539),1,1,3,3,-76,-10
20249,5G基站,2023-03-21 03:12:00 (559),1,1,3,3,-76,-10
20250,5G基站,2023-03-21 03:12:01 (598),1,1,3,3,-76,-10
20251,5G基站,2023-03-21 03:12:02 (618),1,1,3,3,-76,-10
20252,5G基站,2023-03-21 03:12:03 (639),1,1,3,3,-76,-10
20253,5G基站,2023-03-21 03:12:04 (659),1,1,3,3,-76,-10
20254,5G基站,2023-03-21 03:12:05 (698),1,1,3,3,-76,-10
20255,5G基站,2023-03-21 03:12:06 (719),1,1,3,3,-76,-10
20256,5G基站,2023-03-21 03:12:07 (738),1,1,3,3,-76,-10
20257,5G基站,2023-03-21 03:12:08 (759),1,1,3,3,-76,-10
20258,5G基站,2023-03-21 03:12:09 (798),1,1,3,3,-76,-10
20259,5G基站,2023-03-21 03:12:10 (818),1,1,3,3,-76,-10
20260,5G基站,2023-03-21 03:12:11 (838),1,1,3,3,-76,-10
20261,5G基站,2023-03-21 03:12:12 (858),1,1,3,3,-76,-10
20262,5G基站,2023-03-21 03:12:13 (898),1,1,3,3,-76,-10
20263,5G基站,2023-03-21 03:12:14 (919),1,1,3,3,-76,-10
20264,5G基站,2023-03-21 03:12:15 (938),1,1,3,3,-76,-10
20265,5G基站,2023-03-21 03:12:16 (959),1,1,3,3,-76,-10
20266,5G基站,2023-03-21 03:12:17 (999),1,1,3,3,-76,-10
20267,5G基站,2023-03-21 03:12:19 (18),1,1,3,3,-76,-10
20268,5G基站,2023-03-21 03:12:20 (39),1,1,3,3,-76,-10
20269,5G基站,2023-03-21 03:12:21 (58),1,1,3,3,-76,-10
20270,5G基站,2023-03-21 03:12:22 (99),1,1,3,3,-76,-10
20271,5G基站,2023-03-21 03:12:23 (119),1,1,3,3,-76,-10
20272,5G基站,2023-03-21 03:12:24 (139),1,1,3,3,-76,-10
20273,5G基站,2023-03-21 03:12:25 (158),1,1,3,3,-76,-10
20274,5G基站,2023-03-21 03:12:26 (199),1,1,3,3,-76,-10
20275,5G基站,2023-03-21 03:12:27 (218),1,1,3,3,-76,-10
20276,5G基站,2023-03-21 03:12:28 (238),1,1,3,3,-76,-10
20277,5G基站,2023-03-21 03:12:29 (259),1,1,3,3,-76,-10
20278,5G基站,2023-03-21 03:12:30 (298),1,1,3,3,-76,-10
20279,5G基站,2023-03-21 03:12:31 (318),1,1,3,3,-76,-10
20280,5G基站,2023-03-21 03:12:32 (338),1,1,3,3,-76,-10
20281,5G基站,2023-03-21 03:12:33 (358),1,1,3,3,-76,-10
20282,5G基站,2023-03-21 03:12:34 (398),1,1,3,3,-76,-10
20283,5G基站,2023-03-21 03:12:35 (418),1,1,3,3,-76,-10
20284,5G基站,2023-03-21 03:12:36 (438),1,1,3,3,-76,-10
20285,5G基站,2023-03-21 03:12:37 (459),1,1,3,3,-76,-10
20286,5G基站,2023-03-21 03:12:38 (499),1,1,3,3,-76,-10
20287,5G基站,2023-03-21 03:12:39 (518),1,1,3,3,-76,-10
20288,5G基站,2023-03-21 03:12:40 (528),1,1,3,3,-76,-10
20289,5G基站,2023-03-21 03:12:41 (553),1,1,3,3,-76,-10
20290,5G基站,2023-03-21 03:12:42 (577),1,1,3,3,-76,-10
20291,5G基站,2023-03-21 03:12:43 (603),1,1,3,3,-76,-10
20292,5G基站,2023-03-21 03:12:44 (629),1,1,3,3,-76,-10
20293,5G基站,2023-03-21 03:12:45 (653),1,1,3,3,-76,-10
20294,5G基站,2023-03-21 03:12:46 (678),1,1,3,3,-76,-10
20295,5G基站,2023-03-21 03:12:47 (703),1,1,3,3,-76,-10
20296,5G基站,2023-03-21 03:12:48 (729),1,1,3,3,-76,-10
20297,5G基站,2023-03-21 03:12:49 (753),1,1,3,3,-76,-10
20298,5G基站,2023-03-21 03:12:50 (778),1,1,3,3,-76,-10
20299,5G基站,2023-03-21 03:12:51 (804),1,1,3,3,-76,-10
20300,5G基站,2023-03-21 03:12:52 (828),1,1,3,3,-76,-10
20301,5G基站,2023-03-21 03:12:53 (853),1,1,3,3,-76,-10
20302,5G基站,2023-03-21 03:12:54 (878),1,1,3,3,-76,-10
20303,5G基站,2023-03-21 03:12:55 (904),1,1,3,3,-76,-10
20304,5G基站,2023-03-21 03:12:56 (928),1,1,3,3,-76,-10
20305,5G基站,2023-03-21 03:12:57 (954),1,1,3,3,-76,-10
20306,5G基站,2023-03-21 03:12:58 (978),1,1,3,3,-76,-10
20307,5G基站,2023-03-21 03:13:00 (4),1,1,3,3,-76,-10
20308,5G基站,2023-03-21 03:13:01 (38),1,1,3,3,-76,-10
20309,5G基站,2023-03-21 03:13:02 (58),1,1,3,3,-76,-10
20310,5G基站,2023-03-21 03:13:03 (98),1,1,3,3,-76,-10
20311,5G基站,2023-03-21 03:13:04 (118),1,1,3,3,-76,-10
20312,5G基站,2023-03-21 03:13:05 (138),1,1,3,3,-76,-10
20313,5G基站,2023-03-21 03:13:06 (158),1,1,3,3,-76,-10
20314,5G基站,2023-03-21 03:13:07 (198),1,1,3,3,-76,-10
20315,5G基站,2023-03-21 03:13:08 (218),1,1,3,3,-76,-10
20316,5G基站,2023-03-21 03:13:09 (238),1,1,3,3,-76,-10
20317,5G基站,2023-03-21 03:13:10 (258),1,1,3,3,-76,-10
20318,5G基站,2023-03-21 03:13:11 (298),1,1,3,3,-76,-10
20319,5G基站,2023-03-21 03:13:12 (298),1,1,3,3,-76,-10
20320,5G基站,2023-03-21 03:13:13 (338),1,1,3,3,-76,-10
20321,5G基站,2023-03-21 03:13:14 (358),1,1,3,3,-76,-10
20322,5G基站,2023-03-21 03:13:15 (398),1,1,3,3,-76,-10
20323,5G基站,2023-03-21 03:13:16 (418),1,1,3,3,-76,-10
20324,5G基站,2023-03-21 03:13:17 (438),1,1,3,3,-76,-10
20325,5G基站,2023-03-21 03:13:18 (458),1,1,3,3,-76,-10
20326,5G基站,2023-03-21 03:13:19 (478),1,1,3,3,-76,-10
20327,5G基站,2023-03-21 03:13:20 (518),1,1,3,3,-76,-10
20328,5G基站,2023-03-21 03:13:21 (538),1,1,3,3,-76,-10
20329,5G基站,2023-03-21 03:13:22 (559),1,1,3,3,-76,-10
20330,5G基站,2023-03-21 03:13:23 (578),1,1,3,3,-76,-10
20331,5G基站,2023-03-21 03:13:24 (618),1,1,3,3,-76,-10
20332,5G基站,2023-03-21 03:13:25 (636),1,1,3,3,-76,-10
20333,5G基站,2023-03-21 03:13:26 (658),1,1,3,3,-76,-10
20334,5G基站,2023-03-21 03:13:27 (678),1,1,3,3,-76,-10
20335,5G基站,2023-03-21 03:13:28 (718),1,1,3,3,-76,-10
20336,5G基站,2023-03-21 03:13:29 (738),1,1,3,3,-76,-10
20337,5G基站,2023-03-21 03:13:30 (758),1,1,3,3,-76,-10
20338,5G基站,2023-03-21 03:13:31 (778),1,1,3,3,-76,-10
20339,5G基站,2023-03-21 03:13:32 (818),1,1,3,3,-76,-10
20340,5G基站,2023-03-21 03:13:33 (838),1,1,3,3,-76,-10
20341,5G基站,2023-03-21 03:13:34 (858),1,1,3,3,-76,-10
20342,5G基站,2023-03-21 03:13:35 (878),1,1,3,3,-76,-10
20343,5G基站,2023-03-21 03:13:36 (918),1,1,3,3,-76,-10
20344,5G基站,2023-03-21 03:13:37 (938),1,1,3,3,-76,-10
20345,5G基站,2023-03-21 03:13:38 (958),1,1,3,3,-76,-10
20346,5G基站,2023-03-21 03:13:39 (978),1,1,3,3,-76,-10
20347,5G基站,2023-03-21 03:13:41 (18),1,1,3,3,-76,-10
20348,5G基站,2023-03-21 03:13:42 (38),1,1,3,3,-76,-10
20349,5G基站,2023-03-21 03:13:43 (58),1,1,3,3,-76,-10
20350,5G基站,2023-03-21 03:13:44 (79),1,1,3,3,-76,-10
20351,5G基站,2023-03-21 03:13:45 (118),1,1,3,3,-76,-10
20352,5G基站,2023-03-21 03:13:46 (139),1,1,3,3,-76,-10
20353,5G基站,2023-03-21 03:13:47 (158),1,1,3,3,-76,-10
20354,5G基站,2023-03-21 03:13:48 (178),1,1,3,3,-76,-10
20355,5G基站,2023-03-21 03:13:49 (218),1,1,3,3,-76,-10
