消息序号,来源,采集时间,基站标识,小区标识,服务小区物理小区标识,物理小区标识,RSRP(dBm),RSRQ(dB)
19991,5G基站,2023-03-21 03:07:36 (139),1,1,3,3,-76,-10
19992,5G基站,2023-03-21 03:07:37 (159),1,1,3,3,-76,-10
19993,5G基站,2023-03-21 03:07:38 (179),1,1,3,3,-76,-10
19994,5G基站,2023-03-21 03:07:39 (197),1,1,3,3,-76,-10
19995,5G基站,2023-03-21 03:07:40 (239),1,1,3,3,-76,-10
19996,5G基站,2023-03-21 03:07:41 (259),1,1,3,3,-76,-10
19997,5G基站,2023-03-21 03:07:42 (279),1,1,3,3,-76,-10
19998,5G基站,2023-03-21 03:07:43 (299),1,1,3,3,-76,-10
19999,5G基站,2023-03-21 03:07:44 (339),1,1,3,3,-76,-10
20000,5G基站,2023-03-21 03:07:45 (359),1,1,3,3,-76,-10
20001,5G基站,2023-03-21 03:07:46 (369),1,1,3,3,-76,-10
20002,5G基站,2023-03-21 03:07:47 (394),1,1,3,3,-76,-10
20003,5G基站,2023-03-21 03:07:48 (419),1,1,3,3,-76,-10
20004,5G基站,2023-03-21 03:07:49 (444),1,1,3,3,-76,-10
20005,5G基站,2023-03-21 03:07:50 (469),1,1,3,3,-76,-10
20006,5G基站,2023-03-21 03:07:51 (493),1,1,3,3,-76,-10
20007,5G基站,2023-03-21 03:07:52 (519),1,1,3,3,-76,-10
20008,5G基站,2023-03-21 03:07:53 (544),1,1,3,3,-76,-10
20009,5G基站,2023-03-21 03:07:54 (569),1,1,3,3,-76,-10
20010,5G基站,2023-03-21 03:07:55 (594),1,1,3,3,-76,-10
20011,5G基站,2023-03-21 03:07:56 (619),1,1,3,3,-76,-10
20012,5G基站,2023-03-21 03:07:57 (644),1,1,3,3,-76,-10
20013,5G基站,2023-03-21 03:07:58 (669),1,1,3,3,-76,-10
20014,5G基站,2023-03-21 03:07:59 (694),1,1,3,3,-76,-10
20015,5G基站,2023-03-21 03:08:00 (719),1,1,3,3,-76,-10
20016,5G基站,2023-03-21 03:08:01 (744),1,1,3,3,-76,-10
20017,5G基站,2023-03-21 03:08:02 (769),1,1,3,3,-76,-10
20018,5G基站,2023-03-21 03:08:03 (794),1,1,3,3,-76,-10
20019,5G基站,2023-03-21 03:08:04 (819),1,1,3,3,-76,-10
20020,5G基站,2023-03-21 03:08:05 (844),1,1,3,3,-76,-10
20021,5G基站,2023-03-21 03:08:06 (879),1,1,3,3,-76,-10
20022,5G基站,2023-03-21 03:08:07 (894),1,1,3,3,-76,-10
20023,5G基站,2023-03-21 03:08:08 (939),1,1,3,3,-76,-10
20024,5G基站,2023-03-21 03:08:09 (944),1,1,3,3,-76,-10
20025,5G基站,2023-03-21 03:08:10 (979),1,1,3,3,-76,-10
20026,5G基站,2023-03-21 03:08:11 (994),1,1,3,3,-76,-10
20027,5G基站,2023-03-21 03:08:13 (39),1,1,3,3,-76,-10
20028,5G基站,2023-03-21 03:08:14 (59),1,1,3,3,-76,-10
20029,5G基站,2023-03-21 03:08:15 (79),1,1,3,3,-76,-10
20030,5G基站,2023-03-21 03:08:16 (99),1,1,3,3,-76,-10
20031,5G基站,2023-03-21 03:08:17 (139),1,1,3,3,-76,-10
20032,5G基站,2023-03-21 03:08:18 (159),1,1,3,3,-76,-10
20033,5G基站,2023-03-21 03:08:19 (179),1,1,3,3,-76,-10
20034,5G基站,2023-03-21 03:08:20 (199),1,1,3,3,-76,-10
20035,5G基站,2023-03-21 03:08:21 (239),1,1,3,3,-76,-10
20036,5G基站,2023-03-21 03:08:22 (259),1,1,3,3,-76,-10
20037,5G基站,2023-03-21 03:08:23 (279),1,1,3,3,-76,-10
20038,5G基站,2023-03-21 03:08:24 (299),1,1,3,3,-76,-10
20039,5G基站,2023-03-21 03:08:25 (339),1,1,3,3,-76,-10
20040,5G基站,2023-03-21 03:08:26 (359),1,1,3,3,-76,-10
20041,5G基站,2023-03-21 03:08:27 (379),1,1,3,3,-76,-10
20042,5G基站,2023-03-21 03:08:28 (399),1,1,3,3,-76,-10
20043,5G基站,2023-03-21 03:08:29 (439),1,1,3,3,-76,-10
20044,5G基站,2023-03-21 03:08:30 (459),1,1,3,3,-76,-10
20045,5G基站,2023-03-21 03:08:31 (478),1,1,3,3,-76,-10
20046,5G基站,2023-03-21 03:08:32 (499),1,1,3,3,-76,-10
20047,5G基站,2023-03-21 03:08:33 (539),1,1,3,3,-76,-10
20048,5G基站,2023-03-21 03:08:34 (559),1,1,3,3,-76,-10
20049,5G基站,2023-03-21 03:08:35 (579),1,1,3,3,-76,-10
20050,5G基站,2023-03-21 03:08:36 (599),1,1,3,3,-76,-10
20051,5G基站,2023-03-21 03:08:37 (639),1,1,3,3,-76,-10
20052,5G基站,2023-03-21 03:08:38 (659),1,1,3,3,-76,-10
20053,5G基站,2023-03-21 03:08:39 (679),1,1,3,3,-76,-10
20054,5G基站,2023-03-21 03:08:40 (699),1,1,3,3,-76,-10
20055,5G基站,2023-03-21 03:08:41 (739),1,1,3,3,-76,-10
20056,5G基站,2023-03-21 03:08:42 (759),1,1,3,3,-76,-10
20057,5G基站,2023-03-21 03:08:43 (779),1,1,3,3,-76,-10
20058,5G基站,2023-03-21 03:08:44 (799),1,1,3,3,-76,-10
20059,5G基站,2023-03-21 03:08:45 (839),1,1,3,3,-76,-10
20060,5G基站,2023-03-21 03:08:46 (859),1,1,3,3,-76,-10
20061,5G基站,2023-03-21 03:08:47 (879),1,1,3,3,-76,-10
20062,5G基站,2023-03-21 03:08:48 (899),1,1,3,3,-76,-10
20063,5G基站,2023-03-21 03:08:49 (939),1,1,3,3,-76,-10
20064,5G基站,2023-03-21 03:08:50 (959),1,1,3,3,-76,-10
20065,5G基站,2023-03-21 03:08:51 (979),1,1,3,3,-76,-10
20066,5G基站,2023-03-21 03:08:52 (999),1,1,3,3,-76,-10
20067,5G基站,2023-03-21 03:08:54 (39),1,1,3,3,-76,-10
20068,5G基站,2023-03-21 03:08:55 (59),1,1,3,3,-76,-10
20069,5G基站,2023-03-21 03:08:56 (79),1,1,3,3,-76,-10
20070,5G基站,2023-03-21 03:08:57 (99),1,1,3,3,-76,-10
20071,5G基站,2023-03-21 03:08:58 (139),1,1,3,3,-76,-10
20072,5G基站,2023-03-21 03:08:59 (159),1,1,3,3,-76,-10
20073,5G基站,2023-03-21 03:09:00 (179),1,1,3,3,-76,-10
20074,5G基站,2023-03-21 03:09:01 (199),1,1,3,3,-76,-10
20075,5G基站,2023-03-21 03:09:02 (239),1,1,3,3,-76,-10
20076,5G基站,2023-03-21 03:09:03 (259),1,1,3,3,-76,-10
20077,5G基站,2023-03-21 03:09:04 (269),1,1,3,3,-76,-10
20078,5G基站,2023-03-21 03:09:05 (294),1,1,3,3,-76,-10
20079,5G基站,2023-03-21 03:09:06 (319),1,1,3,3,-76,-10
20080,5G基站,2023-03-21 03:09:07 (343),1,1,3,3,-76,-10
20081,5G基站,2023-03-21 03:09:08 (369),1,1,3,3,-76,-10
20082,5G基站,2023-03-21 03:09:09 (393),1,1,3,3,-76,-10
20083,5G基站,2023-03-21 03:09:10 (419),1,1,3,3,-76,-10
20084,5G基站,2023-03-21 03:09:11 (443),1,1,3,3,-76,-10
20085,5G基站,2023-03-21 03:09:12 (469),1,1,3,3,-76,-10
20086,5G基站,2023-03-21 03:09:13 (494),1,1,3,3,-76,-10
20087,5G基站,2023-03-21 03:09:14 (519),1,1,3,3,-76,-10
20088,5G基站,2023-03-21 03:09:15 (544),1,1,3,3,-76,-10
20089,5G基站,2023-03-21 03:09:16 (569),1,1,3,3,-76,-10
20090,5G基站,2023-03-21 03:09:17 (594),1,1,3,3,-76,-10
20091,5G基站,2023-03-21 03:09:18 (619),1,1,3,3,-76,-10
20092,5G基站,2023-03-21 03:09:19 (644),1,1,3,3,-76,-10
20093,5G基站,2023-03-21 03:09:20 (669),1,1,3,3,-76,-10
20094,5G基站,2023-03-21 03:09:21 (699),1,1,3,3,-76,-10
20095,5G基站,2023-03-21 03:09:22 (739),1,1,3,3,-76,-10
20096,5G基站,2023-03-21 03:09:23 (759),1,1,3,3,-76,-10
20097,5G基站,2023-03-21 03:09:24 (779),1,1,3,3,-76,-10
20098,5G基站,2023-03-21 03:09:25 (799),1,1,3,3,-76,-10
20099,5G基站,2023-03-21 03:09:26 (838),1,1,3,3,-76,-10
20100,5G基站,2023-03-21 03:09:27 (859),1,1,3,3,-76,-10
20101,5G基站,2023-03-21 03:09:28 (879),1,1,3,3,-76,-10
20102,5G基站,2023-03-21 03:09:29 (899),1,1,3,3,-76,-10
20103,5G基站,2023-03-21 03:09:30 (939),1,1,3,3,-76,-10
20104,5G基站,2023-03-21 03:09:31 (959),1,1,3,3,-76,-10
20105,5G基站,2023-03-21 03:09:32 (978),1,1,3,3,-76,-10
20106,5G基站,2023-03-21 03:09:33 (999),1,1,3,3,-76,-10
20107,5G基站,2023-03-21 03:09:35 (39),1,1,3,3,-76,-10
20108,5G基站,2023-03-21 03:09:36 (59),1,1,3,3,-76,-10
20109,5G基站,2023-03-21 03:09:37 (79),1,1,3,3,-76,-10
20110,5G基站,2023-03-21 03:09:38 (99),1,1,3,3,-76,-10
20111,5G基站,2023-03-21 03:09:39 (139),1,1,3,3,-76,-10
20112,5G基站,2023-03-21 03:09:40 (159),1,1,3,3,-76,-10
20113,5G基站,2023-03-21 03:09:41 (178),1,1,3,3,-76,-10
20114,5G基站,2023-03-21 03:09:42 (199),1,1,3,3,-76,-10
20115,5G基站,2023-03-21 03:09:43 (239),1,1,3,3,-76,-10
20116,5G基站,2023-03-21 03:09:44 (259),1,1,3,3,-76,-10
20117,5G基站,2023-03-21 03:09:45 (279),1,1,3,3,-76,-10
20118,5G基站,2023-03-21 03:09:46 (299),1,1,3,3,-76,-10
20119,5G基站,2023-03-21 03:09:47 (339),1,1,3,3,-76,-10
20120,5G基站,2023-03-21 03:09:48 (359),1,1,3,3,-76,-10
20121,5G基站,2023-03-21 03:09:49 (378),1,1,3,3,-76,-10
20122,5G基站,2023-03-21 03:09:50 (399),1,1,3,3,-76,-10
20123,5G基站,2023-03-21 03:09:51 (439),1,1,3,3,-76,-10
20124,5G基站,2023-03-21 03:09:52 (459),1,1,3,3,-76,-10
20125,5G基站,2023-03-21 03:09:53 (478),1,1,3,3,-76,-10
20126,5G基站,2023-03-21 03:09:54 (499),1,1,3,3,-76,-10
20127,5G基站,2023-03-21 03:09:55 (539),1,1,3,3,-76,-10
20128,5G基站,2023-03-21 03:09:56 (559),1,1,3,3,-76,-10
20129,5G基站,2023-03-21 03:09:57 (579),1,1,3,3,-76,-10
20130,5G基站,2023-03-21 03:09:58 (599),1,1,3,3,-76,-10
20131,5G基站,2023-03-21 03:09:59 (639),1,1,3,3,-76,-10
20132,5G基站,2023-03-21 03:10:00 (659),1,1,3,3,-76,-10
20133,5G基站,2023-03-21 03:10:01 (679),1,1,3,3,-76,-10
20134,5G基站,2023-03-21 03:10:02 (699),1,1,3,3,-76,-10
20135,5G基站,2023-03-21 03:10:03 (739),1,1,3,3,-76,-10
20136,5G基站,2023-03-21 03:10:04 (744),1,1,3,3,-76,-10
20137,5G基站,2023-03-21 03:10:05 (779),1,1,3,3,-76,-10
20138,5G基站,2023-03-21 03:10:06 (798),1,1,3,3,-76,-10
20139,5G基站,2023-03-21 03:10:07 (838),1,1,3,3,-76,-10
20140,5G基站,2023-03-21 03:10:08 (858),1,1,3,3,-76,-10
20141,5G基站,2023-03-21 03:10:09 (879),1,1,3,3,-76,-10
20142,5G基站,2023-03-21 03:10:10 (898),1,1,3,3,-76,-10
20143,5G基站,2023-03-21 03:10:11 (939),1,1,3,3,-76,-10
20144,5G基站,2023-03-21 03:10:12 (959),1,1,3,3,-76,-10
20145,5G基站,2023-03-21 03:10:13 (979),1,1,3,3,-76,-10
20146,5G基站,2023-03-21 03:10:14 (998),1,1,3,3,-76,-10
20147,5G基站,2023-03-21 03:10:16 (19),1,1,3,3,-76,-10
20148,5G基站,2023-03-21 03:10:17 (39),1,1,3,3,-76,-10
