消息序号,采集时间,NR DU小区标识,下行RLC总吞吐率(bps),上行RLC总吞吐率(bps),下行MAC总吞吐率(bps),上行MAC总吞吐率(bps),运营商索引
1,2023-03-20 22:12:06 (509),1,1392,2480,7224,515472,0
2,2023-03-20 22:12:07 (509),1,1392,1896,5744,547344,0
3,2023-03-20 22:12:08 (529),1,1392,1976,6672,560304,0
4,2023-03-20 22:12:09 (509),1,1392,1896,6096,480672,0
5,2023-03-20 22:12:10 (510),1,1392,1976,6672,563856,0
6,2023-03-20 22:12:11 (509),1,1392,1896,5424,496032,0
7,2023-03-20 22:12:12 (509),1,696,1976,5544,605448,0
8,2023-03-20 22:12:13 (529),1,1392,696,4576,505752,0
9,2023-03-20 22:12:14 (509),1,1392,1976,6256,666432,0
10,2023-03-20 22:12:15 (509),1,1392,1392,5544,505488,0
11,2023-03-20 22:12:16 (510),1,1392,8360,29816,1172216,0
12,2023-03-20 22:12:17 (509),1,1392,11768,35200,1596312,0
13,2023-03-20 22:12:18 (509),1,1392,9936,24224,1343136,0
14,2023-03-20 22:12:19 (509),1,1392,15264,48424,1705728,0
15,2023-03-20 22:12:20 (509),1,1392,10480,35200,1304120,0
16,2023-03-20 22:12:21 (510),1,1392,15816,59336,1706160,0
17,2023-03-20 22:12:22 (509),1,1392,11048,43384,1103328,0
18,2023-03-20 22:12:23 (509),1,1392,14744,47784,1501376,0
19,2023-03-20 22:12:24 (509),1,1392,9728,29496,1225080,0
20,2023-03-20 22:12:25 (509),1,1392,1392,4776,557328,0
21,2023-03-20 22:12:26 (529),1,696,696,2168,461232,0
22,2023-03-20 22:12:27 (509),1,1392,1392,4872,467400,0
23,2023-03-20 22:12:28 (509),1,1392,1976,6256,592176,0
24,2023-03-20 22:12:29 (510),1,1392,1392,4776,444720,0
25,2023-03-20 22:12:30 (509),1,1392,1976,6608,535224,0
26,2023-03-20 22:12:31 (509),1,1392,1392,5336,701568,0
27,2023-03-20 22:12:32 (510),1,1392,1976,6608,457416,0
28,2023-03-20 22:12:33 (509),1,1392,1392,5128,412848,0
29,2023-03-20 22:12:34 (529),1,1392,1976,5192,393984,0
30,2023-03-20 22:12:35 (509),1,1392,1392,5192,389856,0
31,2023-03-20 22:12:36 (509),1,1392,1976,6672,566520,0
32,2023-03-20 22:12:37 (509),1,1392,1392,4776,364512,0
33,2023-03-20 22:12:38 (509),1,696,1976,5192,445296,0
34,2023-03-20 22:12:39 (509),1,1392,696,4320,367752,0
35,2023-03-20 22:12:40 (509),1,1392,1976,6256,505824,0
36,2023-03-20 22:12:41 (529),1,1392,1392,5128,361536,0
37,2023-03-20 22:12:42 (529),1,1392,1976,7024,599448,0
38,2023-03-20 22:12:43 (510),1,1392,1392,4776,332640,0
39,2023-03-20 22:12:44 (509),1,1392,1976,6256,499272,0
40,2023-03-20 22:12:45 (509),1,1392,1392,4872,342096,0
41,2023-03-20 22:12:46 (510),1,1392,1976,6352,496032,0
42,2023-03-20 22:12:47 (509),1,1392,1392,4872,342096,0
43,2023-03-20 22:12:48 (509),1,1392,1976,7088,508728,0
44,2023-03-20 22:12:49 (510),1,1392,1920,6672,521952,0
45,2023-03-20 22:12:50 (509),1,1392,1976,6256,531144,0
46,2023-03-20 22:12:51 (509),1,1392,1920,6608,544368,0
47,2023-03-20 22:12:52 (509),1,696,1280,3648,557376,0
48,2023-03-20 22:12:53 (509),1,1392,1920,6608,566520,0
49,2023-03-20 22:12:54 (509),1,1392,1976,6256,611880,0
50,2023-03-20 22:12:55 (509),1,1392,1920,6256,540864,0
51,2023-03-20 22:12:56 (509),1,1392,1976,6256,553824,0
52,2023-03-20 22:12:57 (509),1,1392,1920,7024,683688,0
53,2023-03-20 22:12:58 (509),1,1392,1976,6256,527904,0
54,2023-03-20 22:12:59 (509),1,1392,1920,6608,567576,0
55,2023-03-20 22:13:00 (509),1,1392,1392,5128,664776,0
56,2023-03-20 22:13:01 (529),1,1392,1920,6256,550584,0
57,2023-03-20 22:13:02 (509),1,1392,1392,5128,470640,0
58,2023-03-20 22:13:03 (509),1,1392,1920,6256,550320,0
59,2023-03-20 22:13:04 (509),1,696,1392,3712,474192,0
60,2023-03-20 22:13:05 (510),1,1392,1224,5704,624312,0
61,2023-03-20 22:13:06 (509),1,1392,1392,5192,499272,0
62,2023-03-20 22:13:07 (510),1,1392,1920,6608,659688,0
63,2023-03-20 22:13:08 (509),1,1392,1392,5192,492792,0
64,2023-03-20 22:13:09 (509),1,1392,1920,6608,646728,0
65,2023-03-20 22:13:10 (529),1,1392,1976,6672,749928,0
66,2023-03-20 22:13:11 (530),1,1392,1920,6608,656712,0
67,2023-03-20 22:13:12 (509),1,1392,1976,6256,634032,0
68,2023-03-20 22:13:13 (510),1,1392,1920,6672,615120,0
69,2023-03-20 22:13:14 (510),1,1392,1976,6256,630528,0
70,2023-03-20 22:13:15 (510),1,1392,1920,7024,630792,0
