消息序号,采集时间,NR DU小区标识,下行RLC总吞吐率(bps),上行RLC总吞吐率(bps),下行MAC总吞吐率(bps),上行MAC总吞吐率(bps),运营商索引
71,2023-03-20 22:13:16 (509),1,1392,1976,6672,640824,0
72,2023-03-20 22:13:17 (509),1,1392,1920,6120,741216,0
73,2023-03-20 22:13:18 (509),1,696,1280,4064,653256,0
74,2023-03-20 22:13:19 (509),1,1392,1920,6608,666432,0
75,2023-03-20 22:13:20 (509),1,1392,1976,7024,672120,0
76,2023-03-20 22:13:21 (509),1,1392,1936,6672,627552,0
77,2023-03-20 22:13:22 (509),1,1392,1976,6608,640512,0
78,2023-03-20 22:13:23 (509),1,1392,1936,6672,576504,0
79,2023-03-20 22:13:24 (509),1,1392,1976,7024,579552,0
80,2023-03-20 22:13:25 (509),1,1392,1936,6608,502248,0
81,2023-03-20 22:13:26 (509),1,1392,1976,6672,515207,0
82,2023-03-20 22:13:27 (510),1,1392,1936,4776,489288,0
83,2023-03-20 22:13:28 (509),1,1392,1976,5128,638328,0
84,2023-03-20 22:13:29 (529),1,1392,1936,6256,524664,0
85,2023-03-20 22:13:30 (529),1,1392,1976,7024,615384,0
86,2023-03-20 22:13:31 (529),1,696,1240,4640,589248,0
87,2023-03-20 22:13:32 (509),1,1392,1976,6672,828120,0
88,2023-03-20 22:13:33 (509),1,1392,1936,7024,655920,0
89,2023-03-20 22:13:34 (529),1,1392,1976,6608,640248,0
90,2023-03-20 22:13:35 (529),1,1392,1936,6808,829296,0
91,2023-03-20 22:13:36 (509),1,1392,1976,6256,665640,0
92,2023-03-20 22:13:37 (510),1,1392,1936,6672,659688,0
93,2023-03-20 22:13:38 (529),1,1392,1976,6672,633504,0
94,2023-03-20 22:13:39 (529),1,1392,3328,8151,691824,0
95,2023-03-20 22:13:40 (530),1,1392,1976,6808,669672,0
96,2023-03-20 22:13:41 (509),1,1392,3328,7736,746112,0
97,2023-03-20 22:13:42 (509),1,1392,2072,6672,560040,0
98,2023-03-20 22:13:43 (509),1,1392,3328,8151,729912,0
99,2023-03-20 22:13:44 (529),1,696,1376,4064,563592,0
100,2023-03-20 22:13:45 (529),1,1392,3328,7736,797952,0
101,2023-03-20 22:13:46 (529),1,1392,2656,7736,739632,0
102,2023-03-20 22:13:47 (509),1,1392,4720,8087,714552,0
103,2023-03-20 22:13:48 (510),1,1392,2656,8151,678600,0
104,2023-03-20 22:13:49 (509),1,1392,4720,7736,627288,0
105,2023-03-20 22:13:50 (509),1,1392,3336,8087,656760,0
106,2023-03-20 22:13:51 (510),1,1392,4720,8151,560040,0
107,2023-03-20 22:13:52 (509),1,1392,3336,8087,524664,0
108,2023-03-20 22:13:53 (509),1,1392,4720,8151,515207,0
109,2023-03-20 22:13:54 (509),1,1392,3336,7024,479568,0
110,2023-03-20 22:13:55 (509),1,1392,2632,7736,576840,0
111,2023-03-20 22:13:56 (510),1,1392,3336,7736,530952,0
112,2023-03-20 22:13:57 (509),1,696,1936,6120,560352,0
113,2023-03-20 22:13:58 (529),1,1392,3336,7736,566592,0
114,2023-03-20 22:13:59 (509),1,1392,2632,7184,595224,0
115,2023-03-20 22:14:00 (509),1,1392,3336,8087,617568,0
116,2023-03-20 22:14:01 (509),1,1392,2632,8151,608448,0
117,2023-03-20 22:14:02 (509),1,1392,3336,7736,582528,0
118,2023-03-20 22:14:03 (529),1,1392,3328,6672,589200,0
119,2023-03-20 22:14:04 (509),1,1392,3336,8504,615504,0
120,2023-03-20 22:14:05 (510),1,1392,3328,8504,683160,0
121,2023-03-20 22:14:06 (509),1,1392,4464,10696,787968,0
122,2023-03-20 22:14:07 (509),1,1392,3856,9632,736656,0
123,2023-03-20 22:14:08 (509),1,1392,4992,11112,835584,0
124,2023-03-20 22:14:09 (509),1,1392,4400,9216,800664,0
125,2023-03-20 22:14:10 (509),1,696,4296,8087,887664,0
126,2023-03-20 22:14:11 (509),1,1392,4400,9984,855792,0
127,2023-03-20 22:14:12 (509),1,1392,4992,12592,935424,0
128,2023-03-20 22:14:13 (509),1,1392,4400,9568,1110024,0
129,2023-03-20 22:14:14 (509),1,1392,4904,11048,890328,0
130,2023-03-20 22:14:15 (529),1,1392,4400,9216,784992,0
131,2023-03-20 22:14:16 (529),1,1392,4904,10696,929736,0
132,2023-03-20 22:14:17 (509),1,1392,4400,9568,723960,0
133,2023-03-20 22:14:18 (509),1,1392,4320,7736,765288,0
134,2023-03-20 22:14:19 (529),1,1392,3704,9984,685344,0
135,2023-03-20 22:14:20 (509),1,1392,4320,9568,780960,0
136,2023-03-20 22:14:21 (510),1,1392,3704,9312,711000,0
137,2023-03-20 22:14:22 (510),1,1392,3640,7864,662472,0
138,2023-03-20 22:14:23 (509),1,696,3704,8151,750264,0
139,2023-03-20 22:14:24 (509),1,1392,2944,7312,675432,0
140,2023-03-20 22:14:25 (509),1,1392,3672,9312,788040,0
141,2023-03-20 22:14:26 (529),1,1392,3640,8216,834720,0
142,2023-03-20 22:14:27 (509),1,1392,2976,7832,723504,0
143,2023-03-20 22:14:28 (531),1,1392,4224,9664,752664,0
144,2023-03-20 22:14:29 (529),1,1392,2976,8151,730176,0
145,2023-03-20 22:14:30 (510),1,1392,4224,9632,893904,0
146,2023-03-20 22:14:31 (509),1,1392,2976,8216,698304,0
147,2023-03-20 22:14:32 (529),1,1392,4224,9312,1082544,0
148,2023-03-20 22:14:33 (529),1,1392,2976,7864,779040,0
149,2023-03-20 22:14:34 (510),1,1392,4224,9344,800928,0
150,2023-03-20 22:14:35 (509),1,1392,2976,8183,678600,0
151,2023-03-20 22:14:36 (529),1,696,3528,7024,810960,0
152,2023-03-20 22:14:37 (509),1,1392,2976,8183,720456,0
153,2023-03-20 22:14:38 (510),1,1392,3096,9632,816864,0
154,2023-03-20 22:14:39 (509),1,1392,2448,8216,679128,0
155,2023-03-20 22:14:40 (509),1,1392,2568,7864,791208,0
156,2023-03-20 22:14:41 (510),1,1392,1904,6352,669144,0
157,2023-03-20 22:14:42 (509),1,1392,2568,8504,723960,0
158,2023-03-20 22:14:43 (510),1,1392,1904,6736,595416,0
159,2023-03-20 22:14:44 (509),1,1392,2568,7832,653208,0
160,2023-03-20 22:14:45 (509),1,1392,1904,6944,718536,0
161,2023-03-20 22:14:46 (529),1,1392,1976,6384,499272,0
162,2023-03-20 22:14:47 (509),1,1392,1904,6736,502776,0
163,2023-03-20 22:14:48 (509),1,1392,1976,6736,499344,0
164,2023-03-20 22:14:49 (529),1,696,1904,5192,493176,0
165,2023-03-20 22:14:50 (509),1,1392,1280,6184,615960,0
166,2023-03-20 22:14:51 (509),1,1392,1904,6736,550392,0
167,2023-03-20 22:14:52 (529),1,1392,1976,6736,815232,0
168,2023-03-20 22:14:53 (510),1,1392,1904,6736,738552,0
169,2023-03-20 22:14:54 (510),1,1392,1976,6384,614400,0
170,2023-03-20 22:14:55 (529),1,1392,1904,6384,611616,0
171,2023-03-20 22:14:56 (509),1,1392,1976,6352,583032,0
172,2023-03-20 22:14:57 (509),1,1392,1904,6384,569496,0
173,2023-03-20 22:14:58 (509),1,1392,1976,6736,553560,0
174,2023-03-20 22:14:59 (510),1,1392,1904,6384,547344,0
175,2023-03-20 22:15:00 (509),1,1392,1392,4872,368328,0
176,2023-03-20 22:15:01 (509),1,1392,1904,6736,524664,0
177,2023-03-20 22:15:02 (509),1,696,696,2264,358344,0
178,2023-03-20 22:15:03 (509),1,1392,1904,6736,531144,0
179,2023-03-20 22:15:04 (509),1,1392,1392,4904,458472,0
180,2023-03-20 22:15:05 (509),1,1392,1904,6672,512232,0
181,2023-03-20 22:15:06 (509),1,1392,1392,5544,338592,0
182,2023-03-20 22:15:07 (509),1,1392,1904,6384,499008,0
183,2023-03-20 22:15:08 (509),1,1392,1392,4872,342168,0
184,2023-03-20 22:15:09 (509),1,1392,1904,6352,476928,0
185,2023-03-20 22:15:10 (509),1,1392,1976,6488,519576,0
186,2023-03-20 22:15:11 (529),1,1392,1904,6000,426648,0
187,2023-03-20 22:15:12 (510),1,1392,1976,6000,399696,0
188,2023-03-20 22:15:13 (509),1,1392,1904,6000,387000,0
189,2023-03-20 22:15:14 (509),1,1392,1976,4520,364584,0
190,2023-03-20 22:15:15 (509),1,1392,1904,4520,377280,0
191,2023-03-20 22:15:16 (509),1,696,1976,5544,422688,0
192,2023-03-20 22:15:17 (509),1,1392,1208,5800,425616,0
193,2023-03-20 22:15:18 (529),1,1392,1976,6352,476928,0
194,2023-03-20 22:15:19 (510),1,1392,1904,6136,502848,0
195,2023-03-20 22:15:20 (509),1,1392,1976,6000,553896,0
196,2023-03-20 22:15:21 (510),1,1392,1904,6000,731784,0
197,2023-03-20 22:15:22 (509),1,1392,1976,5800,918840,0
198,2023-03-20 22:15:23 (529),1,1392,1904,6704,637536,0
199,2023-03-20 22:15:24 (529),1,1392,1976,6352,637008,0
200,2023-03-20 22:15:25 (510),1,1392,1904,6000,627816,0
201,2023-03-20 22:15:26 (509),1,1392,1976,6000,640248,0
202,2023-03-20 22:15:27 (510),1,1392,1904,6000,640248,0
203,2023-03-20 22:15:28 (509),1,696,1280,3392,650280,0
204,2023-03-20 22:15:29 (509),1,1392,1912,6136,665640,0
205,2023-03-20 22:15:30 (509),1,1392,1976,6000,666168,0
206,2023-03-20 22:15:31 (509),1,1392,1912,6352,665904,0
207,2023-03-20 22:15:32 (510),1,1392,1976,6000,665904,0
208,2023-03-20 22:15:33 (529),1,1392,1912,6000,665904,0
209,2023-03-20 22:15:34 (529),1,1392,1976,6352,669144,0
210,2023-03-20 22:15:35 (509),1,1392,1912,6352,660216,0
211,2023-03-20 22:15:36 (510),1,1392,1976,6352,595416,0
212,2023-03-20 22:15:37 (510),1,1392,1912,6000,585696,0
213,2023-03-20 22:15:38 (510),1,1392,1976,6000,573264,0
214,2023-03-20 22:15:39 (529),1,1392,2984,15712,647696,0
215,2023-03-20 22:15:40 (509),1,1392,15784,41496,1620704,0
216,2023-03-20 22:15:41 (509),1,1392,13592,30552,1397328,0
217,2023-03-20 22:15:42 (529),1,696,13552,33168,1361512,0
218,2023-03-20 22:15:43 (509),1,1392,14664,47728,1015968,0
219,2023-03-20 22:15:44 (510),1,1392,12008,51104,1144272,0
220,2023-03-20 22:15:45 (509),1,1392,14664,50000,1064616,0
221,2023-03-20 22:15:46 (509),1,1392,11504,48520,1371552,0
222,2023-03-20 22:15:47 (490),1,1392,14344,51448,1117512,0
223,2023-03-20 22:15:48 (509),1,1392,3760,16239,775008,0
224,2023-03-20 22:15:49 (509),1,1392,1912,6688,660024,0
225,2023-03-20 22:15:50 (509),1,1392,1392,5000,873744,0
226,2023-03-20 22:15:51 (509),1,1392,1912,6120,640776,0
227,2023-03-20 22:15:52 (529),1,1392,1392,4872,474192,0
228,2023-03-20 22:15:53 (509),1,1392,1912,6352,631056,0
229,2023-03-20 22:15:54 (509),1,696,696,2264,470952,0
230,2023-03-20 22:15:55 (509),1,1392,1912,6472,669672,0
231,2023-03-20 22:15:56 (530),1,1392,1392,4640,525456,0
232,2023-03-20 22:15:57 (509),1,1392,1912,6472,656448,0
233,2023-03-20 22:15:58 (509),1,1392,1392,5288,495456,0
234,2023-03-20 22:15:59 (509),1,1392,1912,6472,659688,0
235,2023-03-20 22:16:00 (509),1,1392,1392,5224,598920,0
236,2023-03-20 22:16:01 (509),1,1392,1392,4640,486576,0
237,2023-03-20 22:16:02 (529),1,1392,1392,4872,483072,0
238,2023-03-20 22:16:03 (509),1,1392,1392,4440,473688,0
239,2023-03-20 22:16:04 (530),1,1392,1392,4640,444720,0
240,2023-03-20 22:16:05 (510),1,1392,1392,5224,435264,0
241,2023-03-20 22:16:06 (509),1,1392,1392,4640,425544,0
242,2023-03-20 22:16:07 (510),1,1392,1392,4872,416400,0
243,2023-03-20 22:16:08 (509),1,696,1392,3712,406944,0
244,2023-03-20 22:16:09 (509),1,1392,696,4672,454704,0
245,2023-03-20 22:16:10 (509),1,1392,1392,4640,409608,0
246,2023-03-20 22:16:11 (510),1,1392,1392,4872,399888,0
247,2023-03-20 22:16:12 (509),1,1392,1392,5224,390168,0
248,2023-03-20 22:16:13 (509),1,1392,1392,4992,380712,0
249,2023-03-20 22:16:14 (509),1,1392,1392,4640,348576,0
250,2023-03-20 22:16:15 (509),1,1392,1392,5224,335616,0
251,2023-03-20 22:16:16 (510),1,1392,1392,5224,329400,0
252,2023-03-20 22:16:17 (529),1,1392,1392,4992,316440,0
253,2023-03-20 22:16:18 (509),1,1392,1392,4872,329400,0
254,2023-03-20 22:16:19 (509),1,1392,1392,4640,309960,0
255,2023-03-20 22:16:20 (509),1,696,696,2264,329712,0
256,2023-03-20 22:16:21 (509),1,1392,1392,4872,416616,0
257,2023-03-20 22:16:22 (510),1,1392,1392,4640,332640,0
258,2023-03-20 22:16:23 (510),1,1392,1392,4640,339384,0
259,2023-03-20 22:16:24 (529),1,1392,1392,4872,361800,0
260,2023-03-20 22:16:25 (510),1,1392,1392,4640,370992,0
261,2023-03-20 22:16:26 (509),1,1392,1392,4992,374232,0
262,2023-03-20 22:16:27 (509),1,1392,1392,4992,387456,0
263,2023-03-20 22:16:28 (509),1,1392,1392,5224,431760,0
264,2023-03-20 22:16:29 (529),1,1392,1392,4640,402864,0
265,2023-03-20 22:16:30 (509),1,1392,1392,4992,422880,0
266,2023-03-20 22:16:31 (509),1,1392,1392,4640,399888,0
267,2023-03-20 22:16:32 (509),1,1392,1392,4640,412584,0
268,2023-03-20 22:16:33 (509),1,1392,1392,4640,425280,0
269,2023-03-20 22:16:34 (509),1,1392,1392,4640,577824,0
270,2023-03-20 22:16:35 (509),1,696,696,3512,439080,0
271,2023-03-20 22:16:36 (509),1,1392,1392,4992,541656,0
272,2023-03-20 22:16:37 (509),1,1392,1392,4872,467136,0
273,2023-03-20 22:16:38 (509),1,1392,1392,4776,476856,0
274,2023-03-20 22:16:39 (509),1,1392,1392,5192,483648,0
275,2023-03-20 22:16:40 (509),1,1392,1392,5192,467136,0
276,2023-03-20 22:16:41 (510),1,1392,1392,4872,460920,0
277,2023-03-20 22:16:42 (509),1,1392,1392,5128,460656,0
278,2023-03-20 22:16:43 (510),1,1392,1392,5128,448224,0
279,2023-03-20 22:16:44 (529),1,1392,1392,4672,480096,0
280,2023-03-20 22:16:45 (509),1,1392,1392,4872,476592,0
281,2023-03-20 22:16:46 (510),1,696,696,2264,483648,0
282,2023-03-20 22:16:47 (509),1,1392,1392,5128,502248,0
283,2023-03-20 22:16:48 (509),1,1392,1392,5424,614592,0
284,2023-03-20 22:16:49 (509),1,1392,1392,4776,499272,0
285,2023-03-20 22:16:50 (529),1,1392,1392,5128,499008,0
286,2023-03-20 22:16:51 (529),1,1392,1392,5128,499272,0
287,2023-03-20 22:16:52 (509),1,1392,1392,4776,538152,0
288,2023-03-20 22:16:53 (510),1,1392,1392,5328,669360,0
289,2023-03-20 22:16:54 (509),1,1392,1392,4776,650760,0
290,2023-03-20 22:16:55 (530),1,1392,1928,5128,493368,0
291,2023-03-20 22:16:56 (529),1,1392,1920,5424,499008,0
292,2023-03-20 22:16:57 (510),1,1392,1928,5680,515472,0
293,2023-03-20 22:16:58 (509),1,1392,3040,6432,612144,0
294,2023-03-20 22:16:59 (509),1,1392,3080,7200,741264,0
295,2023-03-20 22:17:00 (510),1,1392,3608,7336,627288,0
296,2023-03-20 22:17:01 (509),1,696,2384,4816,718056,0
297,2023-03-20 22:17:02 (509),1,1392,3608,6432,694800,0
298,2023-03-20 22:17:03 (510),1,1392,4688,6784,752592,0
299,2023-03-20 22:17:04 (509),1,1392,5744,7200,740160,0
300,2023-03-20 22:17:05 (509),1,1392,4688,7200,782544,0
301,2023-03-20 22:17:06 (529),1,1392,7328,7200,695320,0
302,2023-03-20 22:17:07 (529),1,1392,6320,6456,798744,0
303,2023-03-20 22:17:08 (509),1,1392,7328,9320,679128,0
304,2023-03-20 22:17:09 (509),1,1392,6320,6984,746904,0
305,2023-03-20 22:17:10 (529),1,1392,7328,6432,624312,0
306,2023-03-20 22:17:11 (510),1,1392,5248,6848,698040,0
307,2023-03-20 22:17:12 (509),1,696,6104,4792,612000,0
308,2023-03-20 22:17:13 (510),1,1392,5248,7200,752592,0
309,2023-03-20 22:17:14 (529),1,1392,6776,8304,633768,0
310,2023-03-20 22:17:15 (510),1,1392,4664,7752,765288,0
311,2023-03-20 22:17:16 (509),1,1392,6272,7400,733416,0
312,2023-03-20 22:17:17 (510),1,1392,4664,7336,727464,0
313,2023-03-20 22:17:18 (509),1,1392,6272,6432,833224,0
314,2023-03-20 22:17:19 (510),1,1392,5736,7752,653472,0
315,2023-03-20 22:17:20 (509),1,1392,6800,7336,820416,0
316,2023-03-20 22:17:21 (529),1,1392,6808,6984,585696,0
317,2023-03-20 22:17:22 (509),1,1392,7328,7336,646984,0
318,2023-03-20 22:17:23 (528),1,1392,8424,7336,592752,0
319,2023-03-20 22:17:24 (509),1,1392,7872,7536,646984,0
320,2023-03-20 22:17:25 (509),1,1392,8424,7400,579480,0
321,2023-03-20 22:17:26 (509),1,1392,8528,8304,759856,0
322,2023-03-20 22:17:27 (509),1,696,8424,5720,583296,0
323,2023-03-20 22:17:28 (509),1,1392,8384,7952,695056,0
324,2023-03-20 22:17:29 (509),1,1392,9480,8504,589200,0
325,2023-03-20 22:17:30 (529),1,1392,8512,8640,692080,0
326,2023-03-20 22:17:31 (529),1,1392,7800,7400,566520,0
327,2023-03-20 22:17:32 (509),1,1392,9584,7952,656704,0
328,2023-03-20 22:17:33 (509),1,1392,7800,6432,540864,0
329,2023-03-20 22:17:34 (510),1,1392,10112,10648,793192,0
330,2023-03-20 22:17:35 (510),1,1392,7264,7400,910896,0
331,2023-03-20 22:17:36 (509),1,1392,10152,10160,780808,0
332,2023-03-20 22:17:37 (529),1,1392,7264,7752,1101264,0
333,2023-03-20 22:17:38 (529),1,696,8928,6448,717792,0
334,2023-03-20 22:17:39 (509),1,1392,6192,6984,717480,0
335,2023-03-20 22:17:40 (509),1,1392,10152,9672,790944,0
336,2023-03-20 22:17:41 (529),1,1392,6176,7080,778248,0
337,2023-03-20 22:17:42 (509),1,1392,12288,10224,810384,0
338,2023-03-20 22:17:43 (509),1,1392,7248,7632,807144,0
339,2023-03-20 22:17:44 (509),1,1392,11232,9872,807144,0
340,2023-03-20 22:17:45 (509),1,1392,6720,6912,800664,0
341,2023-03-20 22:17:46 (529),1,1392,9624,10192,810384,0
342,2023-03-20 22:17:47 (509),1,1392,5632,6648,637272,0
343,2023-03-20 22:17:48 (529),1,1392,9624,9288,807144,0
344,2023-03-20 22:17:49 (529),1,1392,5632,5976,691720,0
345,2023-03-20 22:17:50 (509),1,1392,10704,12432,1484856,0
346,2023-03-20 22:17:51 (510),1,1392,4024,7200,792480,0
347,2023-03-20 22:17:52 (509),1,1392,12968,10744,851352,0
348,2023-03-20 22:17:53 (509),1,1392,2976,5776,690168,0
349,2023-03-20 22:17:54 (509),1,696,11200,8480,800664,0
350,2023-03-20 22:17:55 (509),1,1392,3520,5976,538464,0
351,2023-03-20 22:17:56 (510),1,1392,10808,8736,759072,0
352,2023-03-20 22:17:57 (509),1,1392,3520,7080,531408,0
353,2023-03-20 22:17:58 (510),1,1392,8568,9496,874080,0
354,2023-03-20 22:17:59 (509),1,1392,3520,6880,537624,0
355,2023-03-20 22:18:00 (529),1,1392,6936,9088,698040,0
356,2023-03-20 22:18:01 (509),1,1392,3008,5976,550584,0
357,2023-03-20 22:18:02 (510),1,1392,7576,9288,685344,0
358,2023-03-20 22:18:03 (509),1,1392,3008,6112,550320,0
359,2023-03-20 22:18:04 (509),1,696,6328,5576,686232,0
360,2023-03-20 22:18:05 (509),1,1392,3008,5976,588936,0
361,2023-03-20 22:18:06 (509),1,1392,7552,8736,726936,0
362,2023-03-20 22:18:07 (510),1,1392,2472,5776,592176,0
363,2023-03-20 22:18:08 (510),1,1392,5312,7632,778248,0
364,2023-03-20 22:18:09 (510),1,1392,2472,6328,608376,0
365,2023-03-20 22:18:10 (500),1,1392,5968,8183,726936,0
366,2023-03-20 22:18:11 (509),1,1392,2472,5744,604872,0
367,2023-03-20 22:18:12 (510),1,1392,5968,7632,675624,0
368,2023-03-20 22:18:13 (509),1,1392,1928,5776,566832,0
369,2023-03-20 22:18:14 (529),1,1392,4504,6648,618096,0
370,2023-03-20 22:18:15 (509),1,1392,1392,5224,489816,0
371,2023-03-20 22:18:16 (509),1,1392,4504,6328,547344,0
372,2023-03-20 22:18:17 (509),1,1392,1392,5224,476856,0
373,2023-03-20 22:18:18 (510),1,1392,4504,6096,621072,0
374,2023-03-20 22:18:19 (529),1,1392,1392,4992,473352,0
375,2023-03-20 22:18:20 (510),1,696,3808,4816,685920,0
376,2023-03-20 22:18:21 (509),1,1392,1392,4992,502248,0
377,2023-03-20 22:18:22 (529),1,1392,4504,6648,682104,0
378,2023-03-20 22:18:23 (529),1,1392,1392,5224,515472,0
379,2023-03-20 22:18:24 (509),1,1392,5160,7080,521688,0
380,2023-03-20 22:18:25 (509),1,1392,1392,4872,470376,0
381,2023-03-20 22:18:26 (509),1,1392,4504,6528,470376,0
382,2023-03-20 22:18:27 (530),1,1392,1392,5224,450936,0
383,2023-03-20 22:18:28 (510),1,1392,4504,7752,496032,0
384,2023-03-20 22:18:29 (509),1,1392,1392,5224,435000,0
385,2023-03-20 22:18:30 (509),1,696,3256,3920,509256,0
386,2023-03-20 22:18:31 (510),1,1392,1392,5544,441480,0
387,2023-03-20 22:18:32 (510),1,1392,5200,7200,573000,0
388,2023-03-20 22:18:33 (510),1,1392,1392,5192,596688,0
389,2023-03-20 22:18:34 (510),1,1392,4544,7200,601896,0
390,2023-03-20 22:18:35 (509),1,1392,1392,5192,396648,0
391,2023-03-20 22:18:36 (509),1,1392,5200,7952,630792,0
392,2023-03-20 22:18:37 (509),1,1392,1392,5544,422568,0
393,2023-03-20 22:18:38 (529),1,1392,5200,7752,643488,0
394,2023-03-20 22:18:39 (509),1,1392,1392,5544,368328,0
395,2023-03-20 22:18:40 (509),1,1392,5200,7336,755568,0
396,2023-03-20 22:18:41 (509),1,1392,1392,5544,325896,0
397,2023-03-20 22:18:42 (510),1,1392,5200,7752,637584,0
398,2023-03-20 22:18:43 (510),1,1392,1392,5192,309960,0
399,2023-03-20 22:18:44 (509),1,1392,4544,6848,643488,0
400,2023-03-20 22:18:45 (509),1,1392,1392,5192,319416,0
401,2023-03-20 22:18:46 (510),1,696,4544,5720,672696,0
402,2023-03-20 22:18:47 (529),1,1392,696,4992,338856,0
403,2023-03-20 22:18:48 (529),1,1392,3952,6648,656448,0
404,2023-03-20 22:18:49 (509),1,1392,1392,5192,370992,0
405,2023-03-20 22:18:50 (529),1,1392,3952,7200,608376,0
406,2023-03-20 22:18:51 (509),1,1392,1392,5544,374808,0
407,2023-03-20 22:18:52 (509),1,1392,3952,7200,582456,0
