消息序号,来源,采集时间,基站标识,小区标识,服务小区物理小区标识,物理小区标识,RSRP(dBm),RSRQ(dB)
85,5G基站,2023-03-22 22:19:35 (730),1,1,3,3,-78,-10
86,5G基站,2023-03-22 22:19:36 (744),1,1,3,3,-78,-10
87,5G基站,2023-03-22 22:19:37 (770),1,1,3,3,-77,-10
88,5G基站,2023-03-22 22:19:38 (795),1,1,3,3,-77,-10
89,5G基站,2023-03-22 22:19:39 (824),1,1,3,3,-79,-11
90,5G基站,2023-03-22 22:19:40 (844),1,1,3,3,-77,-10
91,5G基站,2023-03-22 22:19:41 (870),1,1,3,3,-79,-10
92,5G基站,2023-03-22 22:19:42 (894),1,1,3,3,-75,-11
93,5G基站,2023-03-22 22:19:43 (919),1,1,3,3,-72,-10
94,5G基站,2023-03-22 22:19:44 (944),1,1,3,3,-72,-10
95,5G基站,2023-03-22 22:19:45 (970),1,1,3,3,-72,-10
96,5G基站,2023-03-22 22:19:46 (995),1,1,3,3,-76,-10
97,5G基站,2023-03-22 22:19:48 (19),1,1,3,3,-78,-10
98,5G基站,2023-03-22 22:19:49 (44),1,1,3,3,-77,-10
99,5G基站,2023-03-22 22:19:50 (69),1,1,3,3,-74,-10
100,5G基站,2023-03-22 22:19:51 (94),1,1,3,3,-75,-10
101,5G基站,2023-03-22 22:19:52 (120),1,1,3,3,-73,-10
102,5G基站,2023-03-22 22:19:53 (144),1,1,3,3,-74,-10
103,5G基站,2023-03-22 22:19:54 (190),1,1,3,3,-77,-10
104,5G基站,2023-03-22 22:19:55 (209),1,1,3,3,-75,-10
105,5G基站,2023-03-22 22:19:56 (229),1,1,3,3,-77,-10
106,5G基站,2023-03-22 22:19:57 (249),1,1,3,3,-77,-10
107,5G基站,2023-03-22 22:19:58 (269),1,1,3,3,-76,-10
108,5G基站,2023-03-22 22:19:59 (294),1,1,3,3,-76,-10
109,5G基站,2023-03-22 22:20:00 (320),1,1,3,3,-75,-10
110,5G基站,2023-03-22 22:20:01 (344),1,1,3,3,-74,-10
111,5G基站,2023-03-22 22:20:02 (369),1,1,3,3,-76,-10
112,5G基站,2023-03-22 22:20:03 (395),1,1,3,3,-76,-10
113,5G基站,2023-03-22 22:20:04 (420),1,1,3,3,-77,-10
114,5G基站,2023-03-22 22:20:05 (444),1,1,3,3,-77,-10
115,5G基站,2023-03-22 22:20:06 (469),1,1,3,3,-76,-10
116,5G基站,2023-03-22 22:20:07 (494),1,1,3,3,-78,-10
117,5G基站,2023-03-22 22:20:08 (519),1,1,3,3,-75,-10
118,5G基站,2023-03-22 22:20:09 (549),1,1,3,3,-76,-10
119,5G基站,2023-03-22 22:20:10 (569),1,1,3,3,-76,-10
120,5G基站,2023-03-22 22:20:11 (609),1,1,3,3,-75,-10
121,5G基站,2023-03-22 22:20:12 (615),1,1,3,3,-76,-10
122,5G基站,2023-03-22 22:20:13 (649),1,1,3,3,-77,-10
123,5G基站,2023-03-22 22:20:14 (669),1,1,3,3,-76,-10
124,5G基站,2023-03-22 22:20:15 (709),1,1,3,3,-78,-10
125,5G基站,2023-03-22 22:20:16 (719),1,1,3,3,-73,-10
126,5G基站,2023-03-22 22:20:17 (750),1,1,3,3,-73,-10
127,5G基站,2023-03-22 22:20:18 (764),1,1,3,3,-75,-10
128,5G基站,2023-03-22 22:20:19 (790),1,1,3,3,-76,-10
129,5G基站,2023-03-22 22:20:20 (815),1,1,3,3,-75,-10
130,5G基站,2023-03-22 22:20:21 (849),1,1,3,3,-77,-10
131,5G基站,2023-03-22 22:20:22 (863),1,1,3,3,-79,-10
132,5G基站,2023-03-22 22:20:23 (909),1,1,3,3,-79,-10
133,5G基站,2023-03-22 22:20:24 (914),1,1,3,3,-78,-10
134,5G基站,2023-03-22 22:20:25 (949),1,1,3,3,-79,-10
135,5G基站,2023-03-22 22:20:26 (969),1,1,3,3,-78,-10
136,5G基站,2023-03-22 22:20:27 (989),1,1,3,3,-77,-10
137,5G基站,2023-03-22 22:20:29 (14),1,1,3,3,-77,-10
138,5G基站,2023-03-22 22:20:30 (39),1,1,3,3,-79,-10
139,5G基站,2023-03-22 22:20:31 (64),1,1,3,3,-77,-10
140,5G基站,2023-03-22 22:20:32 (90),1,1,3,3,-76,-10
141,5G基站,2023-03-22 22:20:33 (114),1,1,3,3,-75,-10
142,5G基站,2023-03-22 22:20:34 (139),1,1,3,3,-78,-10
143,5G基站,2023-03-22 22:20:35 (164),1,1,3,3,-75,-10
144,5G基站,2023-03-22 22:20:36 (189),1,1,3,3,-75,-10
145,5G基站,2023-03-22 22:20:37 (214),1,1,3,3,-75,-10
146,5G基站,2023-03-22 22:20:38 (239),1,1,3,3,-76,-10
147,5G基站,2023-03-22 22:20:39 (264),1,1,3,3,-75,-10
148,5G基站,2023-03-22 22:20:40 (309),1,1,3,3,-79,-10
149,5G基站,2023-03-22 22:20:41 (314),1,1,3,3,-76,-10
150,5G基站,2023-03-22 22:20:42 (339),1,1,3,3,-74,-10
151,5G基站,2023-03-22 22:20:43 (364),1,1,3,3,-76,-10
152,5G基站,2023-03-22 22:20:44 (389),1,1,3,3,-79,-10
153,5G基站,2023-03-22 22:20:45 (414),1,1,3,3,-76,-10
154,5G基站,2023-03-22 22:20:46 (439),1,1,3,3,-77,-10
155,5G基站,2023-03-22 22:20:47 (464),1,1,3,3,-76,-10
156,5G基站,2023-03-22 22:20:48 (490),1,1,3,3,-76,-10
157,5G基站,2023-03-22 22:20:49 (514),1,1,3,3,-78,-10
158,5G基站,2023-03-22 22:20:50 (540),1,1,3,3,-78,-10
159,5G基站,2023-03-22 22:20:51 (564),1,1,3,3,-77,-10
160,5G基站,2023-03-22 22:20:52 (589),1,1,3,3,-77,-10
161,5G基站,2023-03-22 22:20:53 (629),1,1,3,3,-76,-10
162,5G基站,2023-03-22 22:20:54 (639),1,1,3,3,-76,-10
163,5G基站,2023-03-22 22:20:55 (669),1,1,3,3,-78,-10
164,5G基站,2023-03-22 22:20:56 (709),1,1,3,3,-78,-10
165,5G基站,2023-03-22 22:20:57 (729),1,1,3,3,-78,-10
166,5G基站,2023-03-22 22:20:58 (749),1,1,3,3,-78,-10
167,5G基站,2023-03-22 22:20:59 (769),1,1,3,3,-79,-10
168,5G基站,2023-03-22 22:21:00 (784),1,1,3,3,-75,-10
169,5G基站,2023-03-22 22:21:01 (810),1,1,3,3,-78,-10
170,5G基站,2023-03-22 22:21:02 (849),1,1,3,3,-76,-10
171,5G基站,2023-03-22 22:21:03 (859),1,1,3,3,-78,-10
172,5G基站,2023-03-22 22:21:04 (884),1,1,3,3,-78,-10
173,5G基站,2023-03-22 22:21:05 (908),1,1,3,3,-79,-10
174,5G基站,2023-03-22 22:21:06 (934),1,1,3,3,-80,-10
175,5G基站,2023-03-22 22:21:07 (959),1,1,3,3,-78,-10
176,5G基站,2023-03-22 22:21:08 (984),1,1,3,3,-78,-10
177,5G基站,2023-03-22 22:21:10 (35),1,1,3,3,-77,-10
178,5G基站,2023-03-22 22:21:11 (34),1,1,3,3,-77,-10
179,5G基站,2023-03-22 22:21:12 (70),1,1,3,3,-84,-10
180,5G基站,2023-03-22 22:21:13 (84),1,1,3,3,-78,-10
181,5G基站,2023-03-22 22:21:14 (129),1,1,3,3,-80,-10
182,5G基站,2023-03-22 22:21:15 (134),1,1,3,3,-78,-10
183,5G基站,2023-03-22 22:21:16 (159),1,1,3,3,-78,-10
184,5G基站,2023-03-22 22:21:17 (214),1,1,3,3,-79,-10
185,5G基站,2023-03-22 22:21:18 (209),1,1,3,3,-77,-10
186,5G基站,2023-03-22 22:21:19 (234),1,1,3,3,-77,-10
187,5G基站,2023-03-22 22:21:20 (259),1,1,3,3,-77,-10
188,5G基站,2023-03-22 22:21:21 (285),1,1,3,3,-76,-10
189,5G基站,2023-03-22 22:21:22 (309),1,1,3,3,-76,-10
190,5G基站,2023-03-22 22:21:23 (330),1,1,3,3,-80,-10
191,5G基站,2023-03-22 22:21:24 (355),1,1,3,3,-78,-10
192,5G基站,2023-03-22 22:21:25 (379),1,1,3,3,-77,-10
193,5G基站,2023-03-22 22:21:26 (404),1,1,3,3,-77,-10
194,5G基站,2023-03-22 22:21:27 (429),1,1,3,3,-77,-10
195,5G基站,2023-03-22 22:21:28 (469),1,1,3,3,-77,-10
196,5G基站,2023-03-22 22:21:29 (479),1,1,3,3,-77,-10
197,5G基站,2023-03-22 22:21:30 (509),1,1,3,3,-79,-10
198,5G基站,2023-03-22 22:21:31 (529),1,1,3,3,-79,-10
199,5G基站,2023-03-22 22:21:32 (569),1,1,3,3,-76,-10
200,5G基站,2023-03-22 22:21:33 (579),1,1,3,3,-77,-10
201,5G基站,2023-03-22 22:21:34 (609),1,1,3,3,-75,-10
202,5G基站,2023-03-22 22:21:35 (629),1,1,3,3,-74,-10
203,5G基站,2023-03-22 22:21:36 (669),1,1,3,3,-74,-10
204,5G基站,2023-03-22 22:21:37 (679),1,1,3,3,-75,-10
205,5G基站,2023-03-22 22:21:38 (709),1,1,3,3,-74,-10
206,5G基站,2023-03-22 22:21:39 (729),1,1,3,3,-74,-10
207,5G基站,2023-03-22 22:21:40 (769),1,1,3,3,-74,-10
208,5G基站,2023-03-22 22:21:41 (779),1,1,3,3,-74,-10
209,5G基站,2023-03-22 22:21:42 (809),1,1,3,3,-76,-10
210,5G基站,2023-03-22 22:21:43 (849),1,1,3,3,-76,-10
211,5G基站,2023-03-22 22:21:44 (869),1,1,3,3,-76,-10
212,5G基站,2023-03-22 22:21:45 (889),1,1,3,3,-75,-10
213,5G基站,2023-03-22 22:21:46 (909),1,1,3,3,-78,-10
214,5G基站,2023-03-22 22:21:47 (949),1,1,3,3,-74,-10
215,5G基站,2023-03-22 22:21:48 (969),1,1,3,3,-77,-10
216,5G基站,2023-03-22 22:21:49 (989),1,1,3,3,-77,-10
217,5G基站,2023-03-22 22:21:51 (9),1,1,3,3,-78,-10
218,5G基站,2023-03-22 22:21:52 (49),1,1,3,3,-78,-10
219,5G基站,2023-03-22 22:21:53 (69),1,1,3,3,-79,-10
220,5G基站,2023-03-22 22:21:54 (89),1,1,3,3,-77,-10
221,5G基站,2023-03-22 22:21:55 (104),1,1,3,3,-79,-10
222,5G基站,2023-03-22 22:21:56 (149),1,1,3,3,-76,-10
223,5G基站,2023-03-22 22:21:57 (154),1,1,3,3,-80,-10
224,5G基站,2023-03-22 22:21:58 (189),1,1,3,3,-77,-10
225,5G基站,2023-03-22 22:21:59 (199),1,1,3,3,-80,-10
226,5G基站,2023-03-22 22:22:00 (234),1,1,3,3,-78,-10
227,5G基站,2023-03-22 22:22:01 (249),1,1,3,3,-78,-10
228,5G基站,2023-03-22 22:22:02 (289),1,1,3,3,-79,-10
229,5G基站,2023-03-22 22:22:03 (299),1,1,3,3,-79,-10
230,5G基站,2023-03-22 22:22:04 (329),1,1,3,3,-78,-10
231,5G基站,2023-03-22 22:22:05 (349),1,1,3,3,-81,-10
232,5G基站,2023-03-22 22:22:06 (389),1,1,3,3,-77,-10
233,5G基站,2023-03-22 22:22:07 (399),1,1,3,3,-78,-10
234,5G基站,2023-03-22 22:22:08 (429),1,1,3,3,-78,-10
235,5G基站,2023-03-22 22:22:09 (449),1,1,3,3,-81,-10
236,5G基站,2023-03-22 22:22:10 (489),1,1,3,3,-81,-10
237,5G基站,2023-03-22 22:22:11 (499),1,1,3,3,-81,-10
238,5G基站,2023-03-22 22:22:12 (529),1,1,3,3,-81,-10
239,5G基站,2023-03-22 22:22:13 (549),1,1,3,3,-81,-10
240,5G基站,2023-03-22 22:22:14 (589),1,1,3,3,-80,-10
241,5G基站,2023-03-22 22:22:15 (599),1,1,3,3,-80,-10
242,5G基站,2023-03-22 22:22:16 (629),1,1,3,3,-81,-10
243,5G基站,2023-03-22 22:22:17 (649),1,1,3,3,-78,-10
244,5G基站,2023-03-22 22:22:18 (689),1,1,3,3,-81,-10
245,5G基站,2023-03-22 22:22:19 (700),1,1,3,3,-77,-10
246,5G基站,2023-03-22 22:22:20 (729),1,1,3,3,-74,-10
247,5G基站,2023-03-22 22:22:21 (749),1,1,3,3,-76,-10
248,5G基站,2023-03-22 22:22:22 (789),1,1,3,3,-80,-10
249,5G基站,2023-03-22 22:22:23 (794),1,1,3,3,-76,-10
250,5G基站,2023-03-22 22:22:24 (829),1,1,3,3,-80,-10
251,5G基站,2023-03-22 22:22:25 (844),1,1,3,3,-80,-10
252,5G基站,2023-03-22 22:22:26 (889),1,1,3,3,-79,-10
253,5G基站,2023-03-22 22:22:27 (894),1,1,3,3,-80,-10
254,5G基站,2023-03-22 22:22:28 (929),1,1,3,3,-81,-10
255,5G基站,2023-03-22 22:22:29 (944),1,1,3,3,-80,-10
256,5G基站,2023-03-22 22:22:30 (989),1,1,3,3,-79,-10
257,5G基站,2023-03-22 22:22:31 (994),1,1,3,3,-79,-10
258,5G基站,2023-03-22 22:22:33 (29),1,1,3,3,-78,-10
259,5G基站,2023-03-22 22:22:34 (43),1,1,3,3,-79,-10
260,5G基站,2023-03-22 22:22:35 (89),1,1,3,3,-81,-10
261,5G基站,2023-03-22 22:22:36 (109),1,1,3,3,-78,-10
262,5G基站,2023-03-22 22:22:37 (129),1,1,3,3,-77,-10
263,5G基站,2023-03-22 22:22:38 (149),1,1,3,3,-77,-10
264,5G基站,2023-03-22 22:22:39 (169),1,1,3,3,-79,-10
265,5G基站,2023-03-22 22:22:40 (209),1,1,3,3,-77,-10
266,5G基站,2023-03-22 22:22:41 (219),1,1,3,3,-77,-10
267,5G基站,2023-03-22 22:22:42 (249),1,1,3,3,-77,-10
268,5G基站,2023-03-22 22:22:43 (269),1,1,3,3,-79,-10
269,5G基站,2023-03-22 22:22:44 (294),1,1,3,3,-78,-10
270,5G基站,2023-03-22 22:22:45 (317),1,1,3,3,-77,-10
271,5G基站,2023-03-22 22:22:46 (344),1,1,3,3,-76,-10
272,5G基站,2023-03-22 22:22:47 (369),1,1,3,3,-75,-10
273,5G基站,2023-03-22 22:22:48 (394),1,1,3,3,-72,-10
274,5G基站,2023-03-22 22:22:49 (419),1,1,3,3,-71,-10
275,5G基站,2023-03-22 22:22:50 (444),1,1,3,3,-71,-10
276,5G基站,2023-03-22 22:22:51 (469),1,1,3,3,-71,-10
277,5G基站,2023-03-22 22:22:52 (494),1,1,3,3,-72,-10
278,5G基站,2023-03-22 22:22:53 (519),1,1,3,3,-75,-10
279,5G基站,2023-03-22 22:22:54 (544),1,1,3,3,-75,-10
280,5G基站,2023-03-22 22:22:55 (569),1,1,3,3,-73,-10
281,5G基站,2023-03-22 22:22:56 (609),1,1,3,3,-71,-10
282,5G基站,2023-03-22 22:22:57 (629),1,1,3,3,-72,-10
283,5G基站,2023-03-22 22:22:58 (649),1,1,3,3,-71,-10
284,5G基站,2023-03-22 22:22:59 (669),1,1,3,3,-71,-10
285,5G基站,2023-03-22 22:23:00 (689),1,1,3,3,-71,-10
286,5G基站,2023-03-22 22:23:01 (715),1,1,3,3,-72,-10
287,5G基站,2023-03-22 22:23:02 (739),1,1,3,3,-71,-10
288,5G基站,2023-03-22 22:23:03 (764),1,1,3,3,-71,-10
289,5G基站,2023-03-22 22:23:04 (809),1,1,3,3,-72,-10
290,5G基站,2023-03-22 22:23:05 (794),1,1,3,3,-71,-10
291,5G基站,2023-03-22 22:23:06 (849),1,1,3,3,-72,-10
292,5G基站,2023-03-22 22:23:07 (864),1,1,3,3,-71,-10
293,5G基站,2023-03-22 22:23:08 (889),1,1,3,3,-71,-10
294,5G基站,2023-03-22 22:23:09 (929),1,1,3,3,-71,-10
295,5G基站,2023-03-22 22:23:10 (939),1,1,3,3,-71,-10
296,5G基站,2023-03-22 22:23:11 (969),1,1,3,3,-71,-10
297,5G基站,2023-03-22 22:23:12 (989),1,1,3,3,-71,-10
298,5G基站,2023-03-22 22:23:14 (29),1,1,3,3,-72,-10
299,5G基站,2023-03-22 22:23:15 (39),1,1,3,3,-72,-10
300,5G基站,2023-03-22 22:23:16 (69),1,1,3,3,-74,-10
301,5G基站,2023-03-22 22:23:17 (89),1,1,3,3,-70,-10
302,5G基站,2023-03-22 22:23:18 (129),1,1,3,3,-73,-10
303,5G基站,2023-03-22 22:23:19 (139),1,1,3,3,-70,-11
304,5G基站,2023-03-22 22:23:20 (169),1,1,3,3,-75,-11
305,5G基站,2023-03-22 22:23:21 (189),1,1,3,3,-71,-11
306,5G基站,2023-03-22 22:23:22 (229),1,1,3,3,-75,-11
307,5G基站,2023-03-22 22:23:23 (239),1,1,3,3,-69,-10
308,5G基站,2023-03-22 22:23:24 (269),1,1,3,3,-72,-10
309,5G基站,2023-03-22 22:23:25 (289),1,1,3,3,-70,-10
310,5G基站,2023-03-22 22:23:26 (329),1,1,3,3,-68,-10
311,5G基站,2023-03-22 22:23:27 (339),1,1,3,3,-69,-11
312,5G基站,2023-03-22 22:23:28 (359),1,1,3,3,-69,-11
313,5G基站,2023-03-22 22:23:29 (384),1,1,3,3,-69,-11
314,5G基站,2023-03-22 22:23:30 (409),1,1,3,3,-68,-10
315,5G基站,2023-03-22 22:23:31 (434),1,1,3,3,-69,-10
316,5G基站,2023-03-22 22:23:32 (459),1,1,3,3,-70,-10
317,5G基站,2023-03-22 22:23:33 (484),1,1,3,3,-71,-10
318,5G基站,2023-03-22 22:23:34 (509),1,1,3,3,-70,-10
319,5G基站,2023-03-22 22:23:35 (534),1,1,3,3,-71,-10
320,5G基站,2023-03-22 22:23:36 (559),1,1,3,3,-75,-10
321,5G基站,2023-03-22 22:23:37 (584),1,1,3,3,-70,-10
322,5G基站,2023-03-22 22:23:38 (609),1,1,3,3,-74,-10
323,5G基站,2023-03-22 22:23:39 (649),1,1,3,3,-76,-10
324,5G基站,2023-03-22 22:23:40 (659),1,1,3,3,-76,-10
325,5G基站,2023-03-22 22:23:41 (689),1,1,3,3,-76,-10
326,5G基站,2023-03-22 22:23:42 (709),1,1,3,3,-77,-10
327,5G基站,2023-03-22 22:23:43 (749),1,1,3,3,-76,-10
328,5G基站,2023-03-22 22:23:44 (759),1,1,3,3,-75,-10
329,5G基站,2023-03-22 22:23:45 (789),1,1,3,3,-74,-10
330,5G基站,2023-03-22 22:23:46 (809),1,1,3,3,-78,-10
331,5G基站,2023-03-22 22:23:47 (849),1,1,3,3,-79,-10
332,5G基站,2023-03-22 22:23:48 (859),1,1,3,3,-77,-10
333,5G基站,2023-03-22 22:23:49 (889),1,1,3,3,-79,-10
334,5G基站,2023-03-22 22:23:50 (909),1,1,3,3,-77,-10
335,5G基站,2023-03-22 22:23:51 (949),1,1,3,3,-77,-10
336,5G基站,2023-03-22 22:23:52 (969),1,1,3,3,-78,-10
337,5G基站,2023-03-22 22:23:53 (989),1,1,3,3,-79,-10
338,5G基站,2023-03-22 22:23:55 (9),1,1,3,3,-78,-10
339,5G基站,2023-03-22 22:23:56 (49),1,1,3,3,-78,-10
340,5G基站,2023-03-22 22:23:57 (59),1,1,3,3,-80,-10
341,5G基站,2023-03-22 22:23:58 (89),1,1,3,3,-82,-10
342,5G基站,2023-03-22 22:23:59 (104),1,1,3,3,-79,-10
343,5G基站,2023-03-22 22:24:00 (149),1,1,3,3,-80,-10
344,5G基站,2023-03-22 22:24:01 (154),1,1,3,3,-80,-10
345,5G基站,2023-03-22 22:24:02 (189),1,1,3,3,-85,-10
346,5G基站,2023-03-22 22:24:03 (204),1,1,3,3,-85,-10
347,5G基站,2023-03-22 22:24:04 (249),1,1,3,3,-85,-10
348,5G基站,2023-03-22 22:24:05 (254),1,1,3,3,-85,-10
349,5G基站,2023-03-22 22:24:06 (289),1,1,3,3,-88,-10
350,5G基站,2023-03-22 22:24:07 (304),1,1,3,3,-95,-10
351,5G基站,2023-03-22 22:24:08 (349),1,1,3,3,-97,-10
352,5G基站,2023-03-22 22:24:09 (354),1,1,3,3,-95,-10
353,5G基站,2023-03-22 22:24:10 (634),1,1,3,3,-96,-10
354,5G基站,2023-03-22 22:24:11 (454),1,1,3,3,-97,-10
355,5G基站,2023-03-22 22:24:12 (429),1,1,3,3,-98,-10
356,5G基站,2023-03-22 22:24:13 (454),1,1,3,3,-98,-10
357,5G基站,2023-03-22 22:24:14 (479),1,1,3,3,-100,-10
358,5G基站,2023-03-22 22:24:15 (504),1,1,3,3,-100,-10
359,5G基站,2023-03-22 22:24:16 (524),1,1,3,3,-101,-10
360,5G基站,2023-03-22 22:24:17 (548),1,1,3,3,-100,-10
361,5G基站,2023-03-22 22:24:18 (574),1,1,3,3,-102,-10
362,5G基站,2023-03-22 22:24:19 (599),1,1,3,3,-100,-10
363,5G基站,2023-03-22 22:24:20 (624),1,1,3,3,-101,-10
364,5G基站,2023-03-22 22:24:21 (649),1,1,3,3,-102,-10
365,5G基站,2023-03-22 22:24:22 (674),1,1,3,3,-104,-10
366,5G基站,2023-03-22 22:24:23 (699),1,1,3,3,-103,-10
367,5G基站,2023-03-22 22:24:24 (724),1,1,3,3,-104,-11
368,5G基站,2023-03-22 22:24:25 (749),1,1,3,3,-101,-10
369,5G基站,2023-03-22 22:24:26 (774),1,1,3,3,-106,-11
370,5G基站,2023-03-22 22:24:27 (799),1,1,3,3,-104,-10
371,5G基站,2023-03-22 22:24:28 (824),1,1,3,3,-105,-11
372,5G基站,2023-03-22 22:24:29 (869),1,1,3,3,-103,-10
373,5G基站,2023-03-22 22:24:30 (874),1,1,3,3,-103,-11
